Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed (kph),Distance (m),Average_Q (PCUs),Capacity (PCUs),V_C (%),Delay (s),Total_Time (s),Net_Speed_kph (kph),Actual_Flow_Total (PCUs),Demand_Flow_Total (PCUs),Capacity_Indices,Fixed_Flow (PCUs),Actual_Flow_UC1 (PCUs),Actual_Flow_UC2 (PCUs),Actual_Flow_UC3 (PCUs),Actual_Flow_UC4 (PCUs),Actual_Flow_UC5 (PCUs),Actual_Flow_UC6 (PCUs),Actual_Flow_UC7 (PCUs),Actual_Flow_UC8 (PCUs),Actual_Flow_UC9 (PCUs),Actual_Flow_UC10 (PCUs),Actual_Flow_%_HGV (%),Demand_Flow_UC1 (PCUs),Demand_Flow_UC2 (PCUs),Demand_Flow_UC3 (PCUs),Demand_Flow_UC4 (PCUs),Demand_Flow_UC5 (PCUs),Demand_Flow_UC6 (PCUs),Demand_Flow_UC7 (PCUs),Demand_Flow_UC8 (PCUs),Demand_Flow_UC9 (PCUs),Demand_Flow_UC10 (PCUs),Demand_Flow_%_HGV (%),Car_Veh_Actual_Tot,LGV_Veh_Actual_Tot,HGV_Veh_Actual_Tot,Car_PCU_Actual_Tot,LGV_PCU_Actual_Tot,HGV_PCU_Actual_Tot,Car_Veh_Demand_Tot,LGV_Veh_Demand_Tot,HGV_Veh_Demand_Tot,Car_PCU_Demand_Tot,LGV_PCU_Demand_Tot,HGV_PCU_Demand_Tot,Fixed_Tot,Fixed_PCU_Tot,Period,wkt_geom
7506-1004,7506,1004,56418,32209,56416,32201,1,48,97,0.62,527.65,39.98,12.95,20.23,17.27,210.94,210.94,0,0,0.73,82.88,0.97,9.79,5.38,4.84,59.09,4.75,37.47,5.05,0.023940457,0.73,82.88,0.97,9.79,5.38,4.84,59.09,4.75,37.47,5.05,2.3940457,168.43,37.47,2.195652174,168.43,37.47,5.05,168.43,37.47,2.195652174,168.43,37.47,5.05,0,0,AM,"LineString (56418 32209, 56416 32201)"
2014-1005,2014,1005,56419,32204,56455,32240,1,48,507,3.63,866.99,44.48,39.13,77.15,23.66,385.64,385.64,43,6,1.36,146.53,8.42,14.2,23.12,40.44,65.88,15.08,62.53,2.08,0.005393631,1.36,146.53,8.42,14.2,23.12,40.44,65.88,15.08,62.53,2.08,0.539363137,315.03,62.53,0.904347826,315.03,62.53,2.08,315.03,62.53,0.904347826,315.03,62.53,2.08,3,6,AM,"LineString (56419 32204, 56455 32240)"
2789-1005,2789,1005,56429,32241,56455,32240,1,64,260,4.2,682.62,76,39.95,54.57,17.15,518.77,518.77,0,4,1.14,224.95,8.64,13.64,21.4,36.7,67.77,13.25,84.9,42.4,0.081731789,1.14,224.95,8.64,13.64,21.4,36.7,67.77,13.25,84.9,42.4,8.173178865,387.49,84.9,18.43478261,387.49,84.9,42.4,387.49,84.9,18.43478261,387.49,84.9,42.4,2,4,AM,"LineString (56429 32241, 56455 32240)"
1201-1005,1201,1005,56455,32269,56455,32240,1,48,299,4.52,543.53,97.06,87.02,109.45,9.83,527.57,527.57,0,4,0.33,208.94,0.84,38.37,4.01,4.66,162.01,2.87,55.33,46.22,0.087609227,0.33,208.94,0.84,38.37,4.01,4.66,162.01,2.87,55.33,46.22,8.760922721,422.03,55.33,20.09565217,422.03,55.33,46.22,422.03,55.33,20.09565217,422.03,55.33,46.22,2,4,AM,"LineString (56455 32269, 56455 32240)"
7005-1005,7005,1005,56460,32241,56455,32240,2,64,48,6.06,1821.6,45.91,36.15,38.85,4.45,836.28,836.28,0,4,0.58,383.35,5.13,53.09,15.87,20.84,225.32,9.26,74.57,44.25,0.0529129,0.58,383.35,5.13,53.09,15.87,20.84,225.32,9.26,74.57,44.25,5.291289999,713.44,74.57,19.23913043,713.44,74.57,44.25,713.44,74.57,19.23913043,713.44,74.57,44.25,2,4,AM,"LineString (56460 32241, 56455 32240)"
7032-1006,7032,1006,56529,32254,56560,32263,2,64,320,0.07,2484.26,29.93,2.23,20.23,56.93,743.59,743.59,0,6,1.2,320.88,6.65,26.3,27.94,29.46,121.1,17.59,107.64,78.82,0.105999274,1.2,320.88,6.65,26.3,27.94,29.46,121.1,17.59,107.64,78.82,10.59992738,551.12,107.64,34.26956522,551.12,107.64,78.82,551.12,107.64,34.26956522,551.12,107.64,78.82,3,6,AM,"LineString (56529 32254, 56560 32263)"
1214-1006,1214,1006,56674,32298,56560,32263,1,80,1193,0,1720,47.8,10.12,63.8,67.31,822.09,822.09,26,4,2.76,337.36,9.52,40.49,20.6,40.89,168.61,14.08,99.13,84.66,0.102981425,2.76,337.36,9.52,40.49,20.6,40.89,168.61,14.08,99.13,84.66,10.29814254,634.31,99.13,36.80869565,634.31,99.13,84.66,634.31,99.13,36.80869565,634.31,99.13,84.66,2,4,AM,"LineString (56674 32298, 56560 32263)"
2013-1006,2013,1006,56564,32247,56560,32263,1,48,110,0.28,617.98,40.89,9.09,17.34,22.84,252.67,252.67,0,0,0.24,100.21,0.46,15.56,2.76,2.62,72.97,3,20.52,34.33,0.13586892,0.24,100.21,0.46,15.56,2.76,2.62,72.97,3,20.52,34.33,13.58689199,197.82,20.52,14.92608696,197.82,20.52,34.33,197.82,20.52,14.92608696,197.82,20.52,34.33,0,0,AM,"LineString (56564 32247, 56560 32263)"
5016-1008,5016,1008,56228,32175,56205,32130,1,64,497,2.51,1681.71,50.35,15.66,43.62,41.02,846.78,846.78,31,6,0.35,384.71,1.24,62.12,16.39,4.94,266.72,10.36,53.93,40.02,0.04726139,0.35,384.71,1.24,62.12,16.39,4.94,266.72,10.36,53.93,40.02,4.726139021,746.83,53.93,17.4,746.83,53.93,40.02,746.83,53.93,17.4,746.83,53.93,40.02,3,6,AM,"LineString (56228 32175, 56205 32130)"
1228-1008,1228,1008,56200,32102,56205,32130,1,64,303,4.12,645.84,85.32,45.11,62.16,17.55,551.02,551.02,31,6,0.7,193.1,7.9,21.12,44.21,34,89.66,27.83,76.94,49.56,0.089942289,0.7,193.1,7.9,21.12,44.21,34,89.66,27.83,76.94,49.56,8.994228885,418.52,76.94,21.54782609,418.52,76.94,49.56,418.52,76.94,21.54782609,418.52,76.94,49.56,3,6,AM,"LineString (56200 32102, 56205 32130)"
