Zone_MSOA_,Zone_Id,New_Area
1059,501,102391.9129
1059,502,174053.7998
1059,504,98437.45039
1059,505,59054.768
1059,506,112692.8605
1059,509,45325.05115
1059,511,65569.64591
1057,512,161563.7525
1059,512,108577.7541
1057,513,53596.88877
1059,514,116241.3681
1059,515,85293.93749
1059,516,65226.39543
1057,519,141112.7731
1057,520,124605.4871
1057,521,293138.8322
1059,523,135267.8685
1059,524,81524.34927
1059,525,165756.8116
1059,526,2028172.86
1059,527,158949.2014
1059,528,1351766.991
1055,531,58091.95044
1055,532,194005.7952
1055,533,352518.6169
1055,534,15420.82627
1055,535,38700.66262
1055,536,191922.9578
1055,537,303984.1915
1055,538,380570.1759
1054,539,555893.7274
1054,540,201458.3447
1054,541,632506.6009
1054,542,750953.4149
1054,543,419943.7382
1057,544,310852.8073
1058,545,862129.305
1057,545,286374.6022
1058,546,682394.6523
1058,5119,707556.0111
1057,548,1018508.955
1059,551,86488.68839
1059,562,79651.41358
1059,566,55380.75864
1059,567,419384.2242
1059,570,39189.14864
1057,571,64328.55515
1058,572,219297.3659
1059,601,4056443.068
1059,603,197442.367
1059,604,423127.2685
1059,605,722184.8277
1062,606,1567666.582
1055,607,2638749.653
1055,608,417463.5557
5,5002,651531914.4
5,5004,13350777.39
1064,5038,10826682.05
1064,5006,48265605.98
5,5007,77870942.51
5,5008,59873819.34
5,5009,61182796.79
1065,5010,5201967.722
1064,5010,277446.5653
1049,5011,27995927.08
1056,5012,58679585.65
1052,5013,14479028.82
1051,5014,13765208.9
5,5022,237473459.5
1063,5110,16931852.11
5,5024,27021921.46
1064,5138,43402955.39
1060,5140,25274695.55
1060,5027,18168662.04
5,5028,18700726.73
1064,5029,4411347.298
5,5030,51070960.91
1067,5031,170171015.1
1050,5032,76813545.47
1062,5034,941106.7567
1050,5103,169469011.8
1053,5036,8615444.609
1053,5037,20095748.55
1053,5039,5906512.545
1053,5040,763057.569
1053,5041,989141.8261
1053,5042,644869.5143
1053,5043,193436.1562
4,5045,47898173.73
4,5046,45670408.57
4,5053,54382815.33
4,5056,594372342
1062,5065,1466826.426
1062,5067,1603151.296
1059,5067,1239196.431
1061,5033,23250574.39
1056,5021,12596141.31
3,9004,15412148852
5,5018,912515330.8
5,5068,40698582.18
9,5016,351290388.3
4,5100,1760729382
5,5069,343449021.9
4,5052,2366989593
4,5049,2084799690
4,5050,74614073.43
4,5047,2550721022
4,5048,78028341.72
4,5054,2083790486
4,5051,73338789.06
5,5017,1235394412
1076,5120,140963250.1
1075,5120,97801362.33
1069,5120,144408543.7
1071,5120,42711852.98
1078,5120,9030443.22
1,5015,3677222353
1,5001,1643022547
1012,5019,273357827
1082,5003,5671868.478
1086,5003,3230336.411
1085,5003,2302278.244
1084,5003,1346026.94
1083,5003,2749338.713
1090,5003,2858883.334
1089,5003,1153232.275
1088,5003,2362002.174
1087,5003,3735990.939
1093,5003,3191129.599
1092,5003,4953738.642
1091,5003,1969524.846
1110,5003,2178902.868
1111,5003,1361683.169
2,9006,13003683046
1,9008,19086806770
2,9007,23854752371
6,9009,1573509613
3,9003,14163529303
3,9002,8592224095
2,9005,20782282535
1059,573,92548.81147
1059,517,41506.94378
1062,5026,13012551.56
1063,5135,6105230.173
1066,5137,155548188.4
1061,5134,64347170.99
1063,5136,6818113.384
1,5118,3054661000
1007,5129,29553868.48
1002,5127,199180412.2
1001,5128,107535609.3
1019,5128,157334375.3
1081,5124,93755692.42
1080,5124,59773373.5
1077,5122,17289742.3
1079,5122,102630446.5
1074,5122,47182225.91
1070,5121,4349872.925
1068,5121,3711782.363
1073,5121,146090562.6
1072,5121,55679867.5
1038,5020,10739024.27
1037,5020,73801277.9
1036,5020,32200978.03
1042,5020,3336185.905
1041,5020,2560938.956
1040,5020,7174668.876
1039,5020,2282924.694
1046,5020,1685084.275
1045,5020,2472483.913
1044,5020,1496975.98
1043,5020,4803791.676
1048,5020,9996677.122
1047,5020,21929884
1034,5131,37292812.29
1033,5131,4114971.017
1032,5131,2867905.508
1031,5131,60942128.71
1035,5131,63357992.55
1026,5131,3225775.103
1025,5131,37249298.85
1030,5131,5402707.87
1029,5131,3159235.386
1101,5131,76410421.9
1103,5131,110064198.7
1094,5125,12382064.71
1018,5125,50809140.55
1022,5125,14697000.34
1021,5125,51034802.92
1020,5125,41447990.41
1024,5125,5573099.976
1023,5125,8701911.878
1028,5125,2005546.325
1027,5125,3227818.96
1010,5132,153980093.4
1009,5132,7217329.744
1014,5132,138229506.7
1013,5132,78794822.18
1011,5132,21378856.54
1098,5132,9829469.039
1097,5132,70297084.15
1096,5132,10888102.75
1095,5132,52943180.91
1100,5132,34467849.34
1017,5133,18253641.16
1016,5133,2732601.846
1015,5133,8565217.169
1033,5130,94066.61707
1102,5130,75634637.37
1099,5130,74417157.91
1106,5130,47091017.52
1105,5130,111884183.1
1104,5130,90440984.38
1108,5130,10543466.74
1107,5130,120688658.2
1006,5126,97035437.83
1005,5126,6066683.83
1004,5126,62931902.95
1003,5126,15439288.54
1008,5126,84861452.22
5,5139,901627456.6
9,5117,16710363.7
1,5117,9731200.213
1062,609,2077108.364
1062,5141,3568534.726
1059,5141,1432398.243
1062,5143,854009.4787
1062,5142,351395.635
1062,610,156265.3644
1062,5115,17658786.19
8,5116,16822238.55
7,5116,315650182
1109,5116,37443758.14
4,5101,361533239.5
4,5102,1336343055
4,5055,2113842959
1052,5035,97845521.86
1051,5104,58621608.89
1060,5106,14636331.13
1060,5105,30907931.26
1062,5107,18108454.99
1062,5025,32867198.48
1060,5108,30333225.93
1060,5109,13176153.68
1063,5023,28759403.93
1063,5111,12895167.41
1062,5112,993993.6794
1058,547,558611.1553
1059,602,779031.0735
1064,5005,8740014.664
1062,5070,411239.2743
