link_id,network,date_1,time_per,veh_cls,data_source,N,avg_jt,sum_squ_jt,len_m
4000000009377036B,8,00:00.0,36,1,6,1,19.555,382.39802,205.66
4000000009377036B,8,00:00.0,38,2,6,1,16.406,269.15684,205.66
4000000009377036B,8,00:00.0,50,1,6,1,14.248,203.0055,205.66
4000000009377036B,8,00:00.0,51,1,6,1,17.912,320.83974,205.66
4000000009377036B,8,00:00.0,76,1,6,1,13.901,193.2378,205.66
4000000009377036B,8,00:00.0,68,1,6,1,26.818,719.20512,205.66
4000000009377036B,8,00:00.0,5,2,6,1,15.084,227.52706,205.66
4000000009377036B,8,00:00.0,38,2,6,1,16.868,284.52942,205.66
4000000009377036B,8,00:00.0,69,2,6,1,17.06,291.0436,205.66
4000000009377036B,8,00:00.0,32,2,6,1,11.969,143.25696,205.66
4000000009377036B,8,00:00.0,68,1,6,1,13.44,180.6336,205.66
4000000009377036B,8,00:00.0,61,1,6,1,16.807,282.47525,205.66
4000000009377036B,8,00:00.0,57,2,6,1,18.787,352.95137,205.66
4000000009377036B,8,00:00.0,54,1,6,1,25.497,650.09701,205.66
4000000009377036B,8,00:00.0,55,2,6,1,17.28,298.5984,205.66
4000000009377036B,8,00:00.0,64,2,6,1,18.632,347.15142,205.66
4000000009377036B,8,00:00.0,63,2,6,1,15.84,250.9056,205.66
4000000009377036B,8,00:00.0,72,1,6,1,19.005,361.19002,205.66
4000000009377036B,8,00:00.0,26,2,6,1,19.398,376.2824,205.66
4000000009377036B,8,00:00.0,37,2,6,1,16.742,280.29456,205.66
4000000009377036B,8,00:00.0,79,1,6,1,14.993,224.79005,205.66
4000000009377036B,8,00:00.0,86,2,6,1,14.593,212.95565,205.66
4000000009377036B,8,00:00.0,24,2,6,1,37.141,1379.45388,205.66
4000000009377036B,8,00:00.0,56,2,6,1,16.42,269.6164,205.66
4000000009377036B,8,00:00.0,68,1,6,1,18.3,334.89,205.66
4000000009368678A,8,00:00.0,42,2,6,2,1.275,3.34331,14.32
4000000009368678A,8,00:00.0,68,1,6,1,1.151,1.3248,14.32
4000000009368678A,8,00:00.0,71,2,6,1,1.858,3.45216,14.32
4000000009368678A,8,00:00.0,76,1,6,1,4.455,19.84703,14.32
4000000009368678A,8,00:00.0,66,1,6,1,1.08,1.1664,14.32
4000000009368678A,8,00:00.0,27,1,6,1,1.26,1.5876,14.32
4000000009368678A,8,00:00.0,24,2,6,2,3.198,26.82403,14.32
4000000009368678A,8,00:00.0,26,2,6,1,4.426,19.58948,14.32
4000000009368678A,8,00:00.0,65,2,6,1,3.015,9.09023,14.32
4000000009368678A,8,00:00.0,58,1,6,1,3.013,9.07817,14.32
4000000009368678A,8,00:00.0,73,1,6,1,1.416,2.00506,14.32
4000000009368678A,8,00:00.0,27,2,6,1,5.148,26.5019,14.32
4000000009368678A,8,00:00.0,81,2,6,1,1.702,2.8968,14.32
4000000009368678A,8,00:00.0,25,1,6,1,0.441,0.19448,14.32
4000000009368678A,8,00:00.0,34,2,6,1,1.577,2.48693,14.32
4000000009368678A,8,00:00.0,72,2,6,1,2.956,8.73794,14.32
4000000009368678A,8,00:00.0,63,2,6,1,4.1,16.81,14.32
4000000009368678A,8,00:00.0,75,1,6,1,1.607,2.58245,14.32
4000000009368678A,8,00:00.0,60,1,6,1,3.084,9.51106,14.32
4000000009368678A,8,00:00.0,44,1,6,1,1.36,1.8496,14.32
4000000009368678A,8,00:00.0,30,2,6,1,1.101,1.2122,14.32
4000000009368678A,8,00:00.0,54,1,6,1,1.716,2.94466,14.32
4000000009368678A,8,00:00.0,59,2,6,1,1.532,2.34702,14.32
4000000009368678A,8,00:00.0,32,2,6,1,3.532,12.47502,14.32
4000000009368678A,8,00:00.0,23,1,6,1,5.993,35.91605,14.32
4000000009368678A,8,00:00.0,39,1,6,1,1.63,2.6569,14.32
4000000009368678A,8,00:00.0,24,1,6,1,2.017,4.06829,14.32
