Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: Inter_peak
purpose: OB_HBW
level: 2
zone_count: 120
matrix_sum: 19065.0
interzonal_sum: 18639.0
intrazonal_sum: 426.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_OB_HBW_Road.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1,0,525527,177728,south_east,,3,outside,outside,False,1,389.0,589.0,16.0
2,1,319326,213614,south_west_and_wales,,2,outside,outside,False,2,16.0,6.0,0.0
3,2,404480,482143,north_and_scotland,,1,outside,outside,False,3,23.0,18.0,0.0
4,3,480247,337072,east_midlands,,2,outside,outside,False,4,177.0,117.0,1.0
5,4,528496,267268,cam_pet_bed,,3,outside,outside,False,5,436.0,712.0,113.0
6,5,531214,179650,london,,4,outside,outside,False,6,27.0,26.0,0.0
7,6,642388,284397,beccles,,3,outside,outside,False,7,394.0,418.0,43.0
8,7,653108,293170,lowestoft,,3,outside,outside,False,8,457.0,317.0,2.0
9,8,572760,276319,mildenhall,,3,outside,outside,False,9,142.0,278.0,4.0
1001,9,601655,320487,Breckland 001,E02005503,8,outside,outside,False,1001,183.0,156.0,2.0
1002,10,586690,317550,Breckland 002,E02005504,8,outside,outside,False,1002,156.0,101.0,11.0
1003,11,600256,314009,Breckland 003,E02005505,8,outside,outside,False,1003,102.0,85.0,3.0
1004,12,592600,312643,Breckland 004,E02005506,8,outside,outside,False,1004,115.0,50.0,2.0
1005,13,599301,311976,Breckland 005,E02005507,8,outside,outside,False,1005,174.0,363.0,0.0
1006,14,603084,308828,Breckland 006,E02005508,9,outside,outside,False,1006,146.0,88.0,3.0
1007,15,581189,308735,Breckland 007,E02005509,8,outside,outside,False,1007,98.0,95.0,0.0
1008,16,591391,306338,Breckland 008,E02005510,9,outside,outside,False,1008,134.0,28.0,2.0
1009,17,592005,300611,Breckland 009,E02005511,9,outside,outside,False,1009,100.0,88.0,0.0
1010,18,595155,295895,Breckland 010,E02005512,9,outside,outside,False,1010,175.0,76.0,5.0
