Matrix Object
vehicle_type: Rail
value_type: Person Trips
time_period: AM_peak_hr
purpose: OB_HBEmp
level: 4
zone_count: 168
matrix_sum: 131.55165633571514
interzonal_sum: 130.202037007712
intrazonal_sum: 1.3496193280031366
Comments:
Created by furness_matrix operation on the following matrix:
[
    Matrix Object
    vehicle_type: Rail
    value_type: Person Trips
    time_period: AM_peak_hr
    purpose: OB_HBO
    level: 4
    zone_count: 168
    matrix_sum: 364.0
    interzonal_sum: 360.77429216006425
    intrazonal_sum: 3.225707839935766
    Comments:
    Created by copy operation on the following matrix:
    [
        Matrix Object
        vehicle_type: Rail
        value_type: Person Trips
        time_period: AM_peak_hr
        purpose: OB_HBO
        level: 4
        zone_count: 168
        matrix_sum: 364.0
        interzonal_sum: 360.77429216006425
        intrazonal_sum: 3.225707839935766
        Comments:
        Created by disaggregate_matrix operation on the following matrix:
        [
            Matrix Object
            vehicle_type: Rail
            value_type: Person Trips
            time_period: AM_peak_hr
            purpose: OB_HBO
            level: 4
            zone_count: 120
            matrix_sum: 364.0
            interzonal_sum: 363.0
            intrazonal_sum: 1.0
            Comments:
            Created by copy operation on the following matrix:
            [
                Matrix Object
                vehicle_type: Rail
                value_type: Person Trips
                time_period: AM_peak_hr
                purpose: OB_HBO
                level: 4
                zone_count: 120
                matrix_sum: 364.0
                interzonal_sum: 363.0
                intrazonal_sum: 1.0
                Comments:
                Created by operation <built-in function mul> (reverse: False) on
                [
                    Matrix Object
                    vehicle_type: Rail
                    value_type: Person Trips
                    time_period: AM_peak_hr
                    purpose: OB_HBO
                    level: 4
                    zone_count: 120
                    matrix_sum: 364.0
                    interzonal_sum: 363.0
                    intrazonal_sum: 1.0
                    Comments:
                    Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_OB_HBO_Rail.csv
                    MND Raw Data
                    
                ]
                <built-in function mul>
                [
                    1.0
                ]
                
            ]
            
        ]
        
    ]
    
]
Convergence Information:
1: count: 168, col_pass: 94, row_pass: 8
2: count: 168, col_pass: 95, row_pass: 4
3: count: 168, col_pass: 98, row_pass: 4
4: count: 168, col_pass: 124, row_pass: 6
5: count: 168, col_pass: 127, row_pass: 8
6: count: 168, col_pass: 135, row_pass: 32
7: count: 168, col_pass: 152, row_pass: 163
8: count: 168, col_pass: 153, row_pass: 168
reference,index,mnd_zone,x_coord,y_coord,area_ref,sector,msoa,district,Urban city and town,Rural village,Rural hamlets and isolated dwellings,Rural town and fringe,Rural village in a sparse setting,Rural hamlets and isolated dwellings in a sparse setting,Rural town and fringe in a sparse setting,urbanrural,cordon_inner,cordon_outer,Internal,o_total,d_total,intrazonal
501,0,1059,561750,319643,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,0.01141694073005072,0.0,0.0
502,1,1059,561690,320428,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,2,0,0,0,0,0,0,urban,inside,inside,True,0.017449957640445518,0.0,0.0
504,2,1059,562039,320210,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,0.011359129087930242,0.0,0.0
505,3,1059,561794,320290,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,0,0,0,0,0,0,0,rural,inside,inside,True,0.005818942116800143,0.0,0.0
506,4,1059,562225,320448,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,0.016300021115494553,0.0,0.0
509,5,1059,562487,320281,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,1,0,0,0,0,0,0,urban,inside,inside,True,0.005533318261175189,0.0,0.0
511,6,1059,562300,319813,E02005561,5,King's Lynn and West Norfolk 011,Broadland ,0,0,0,0,0,0,0,rural,inside,inside,True,0.007230462012533877,0.0,0.0
