Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: Off_peak
purpose: IB_HBO
level: 3
zone_count: 120
matrix_sum: 57792.0
interzonal_sum: 56256.0
intrazonal_sum: 1536.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_IB_HBO_Road.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1,0,525527,177728,south_east,,3,outside,outside,False,1,2957.0,1787.0,86.0
2,1,319326,213614,south_west_and_wales,,2,outside,outside,False,2,171.0,57.0,0.0
3,2,404480,482143,north_and_scotland,,1,outside,outside,False,3,143.0,47.0,0.0
4,3,480247,337072,east_midlands,,2,outside,outside,False,4,737.0,633.0,9.0
5,4,528496,267268,cam_pet_bed,,3,outside,outside,False,5,2675.0,1618.0,329.0
6,5,531214,179650,london,,4,outside,outside,False,6,374.0,87.0,0.0
7,6,642388,284397,beccles,,3,outside,outside,False,7,1243.0,1266.0,136.0
8,7,653108,293170,lowestoft,,3,outside,outside,False,8,1021.0,1374.0,5.0
9,8,572760,276319,mildenhall,,3,outside,outside,False,9,845.0,576.0,18.0
1001,9,601655,320487,Breckland 001,E02005503,8,outside,outside,False,1001,330.0,569.0,25.0
1002,10,586690,317550,Breckland 002,E02005504,8,outside,outside,False,1002,328.0,608.0,32.0
1003,11,600256,314009,Breckland 003,E02005505,8,outside,outside,False,1003,269.0,399.0,16.0
1004,12,592600,312643,Breckland 004,E02005506,8,outside,outside,False,1004,154.0,354.0,8.0
1005,13,599301,311976,Breckland 005,E02005507,8,outside,outside,False,1005,1146.0,582.0,6.0
1006,14,603084,308828,Breckland 006,E02005508,9,outside,outside,False,1006,258.0,480.0,9.0
1007,15,581189,308735,Breckland 007,E02005509,8,outside,outside,False,1007,320.0,423.0,2.0
1008,16,591391,306338,Breckland 008,E02005510,9,outside,outside,False,1008,169.0,401.0,7.0
1009,17,592005,300611,Breckland 009,E02005511,9,outside,outside,False,1009,351.0,366.0,1.0
1010,18,595155,295895,Breckland 010,E02005512,9,outside,outside,False,1010,286.0,556.0,16.0
1011,19,603998,295067,Breckland 011,E02005513,9,outside,outside,False,1011,582.0,527.0,2.0
1012,20,581682,297063,Breckland 012,E02005514,9,outside,outside,False,1012,213.0,494.0,12.0
1013,21,604853,290790,Breckland 013,E02005515,9,outside,outside,False,1013,196.0,374.0,4.0
1014,22,597539,284128,Breckland 014,E02005516,9,outside,outside,False,1014,272.0,460.0,12.0
1015,23,585826,285759,Breckland 015,E02005517,9,outside,outside,False,1015,481.0,246.0,0.0
1016,24,587791,283588,Breckland 016,E02005518,9,outside,outside,False,1016,420.0,464.0,0.0
1017,25,584480,283022,Breckland 017,E02005519,9,outside,outside,False,1017,390.0,358.0,3.0
1018,26,618363,326863,Broadland 001,E02005520,13,outside,outside,True,1018,369.0,597.0,10.0
1019,27,610716,321553,Broadland 002,E02005521,13,outside,outside,True,1019,630.0,716.0,13.0
1020,28,625306,320263,Broadland 003,E02005522,14,outside,outside,True,1020,220.0,421.0,5.0
1021,29,619690,318749,Broadland 004,E02005523,13,outside,outside,True,1021,436.0,670.0,16.0
1022,30,623390,315202,Broadland 005,E02005524,14,outside,outside,True,1022,123.0,367.0,3.0
1023,31,615911,314230,Broadland 006,E02005525,13,outside,outside,True,1023,337.0,723.0,1.0
1024,32,618206,313913,Broadland 007,E02005526,13,outside,outside,True,1024,292.0,420.0,2.0
1025,33,629373,314134,Broadland 008,E02005527,14,outside,outside,True,1025,345.0,639.0,7.0
1026,34,623554,312619,Broadland 009,E02005528,14,inside,inside,True,1026,215.0,391.0,1.0
1027,35,620077,312145,Broadland 010,E02005529,13,inside,inside,True,1027,551.0,320.0,3.0
1028,36,621149,311920,Broadland 011,E02005530,13,inside,inside,True,1028,406.0,324.0,1.0
1029,37,625170,312679,Broadland 012,E02005531,14,inside,inside,True,1029,142.0,337.0,3.0
1030,38,625986,311747,Broadland 013,E02005532,14,inside,inside,True,1030,719.0,402.0,2.0
1031,39,635720,312415,Broadland 014,E02005533,14,outside,outside,True,1031,233.0,634.0,4.0
1032,40,626485,309865,Broadland 015,E02005534,14,inside,inside,True,1032,232.0,407.0,0.0
1033,41,627178,309109,Broadland 016,E02005535,14,outside,inside,True,1033,550.0,388.0,4.0
1034,42,635061,306298,Broadland 017,E02005536,14,outside,outside,True,1034,622.0,513.0,14.0
1035,43,642604,306812,Broadland 018,E02005537,14,outside,outside,True,1035,228.0,440.0,15.0
1036,44,648713,317534,Great Yarmouth 001,E02005538,7,outside,outside,False,1036,195.0,459.0,0.0
1037,45,644892,314015,Great Yarmouth 002,E02005539,7,outside,outside,False,1037,271.0,429.0,5.0
1038,46,651250,311760,Great Yarmouth 003,E02005540,7,outside,outside,False,1038,157.0,381.0,4.0
1039,47,652799,309688,Great Yarmouth 004,E02005541,7,outside,outside,False,1039,147.0,215.0,1.0
1040,48,650284,308151,Great Yarmouth 005,E02005542,7,outside,outside,False,1040,436.0,291.0,2.0
1041,49,652980,306021,Great Yarmouth 006,E02005543,7,outside,outside,False,1041,361.0,343.0,0.0
1042,50,651693,306612,Great Yarmouth 007,E02005544,7,outside,outside,False,1042,512.0,292.0,1.0
1043,51,650505,305618,Great Yarmouth 008,E02005545,7,outside,outside,False,1043,379.0,243.0,1.0
1044,52,652042,304597,Great Yarmouth 009,E02005546,7,outside,outside,False,1044,175.0,304.0,0.0
1045,53,652457,302774,Great Yarmouth 010,E02005547,7,outside,outside,False,1045,329.0,380.0,2.0
1046,54,651940,303126,Great Yarmouth 011,E02005548,7,outside,outside,False,1046,581.0,229.0,0.0
1047,55,647821,302416,Great Yarmouth 012,E02005549,7,outside,outside,False,1047,86.0,306.0,2.0
1048,56,651436,301705,Great Yarmouth 013,E02005550,7,outside,outside,False,1048,101.0,260.0,0.0
1049,57,570465,341482,Kings Lynn and West Norfolk 001,E02005551,5,outside,outside,False,1049,201.0,194.0,1.0
1050,58,580688,336370,Kings Lynn and West Norfolk 002,E02005552,5,outside,outside,False,1050,308.0,386.0,46.0
1051,59,570025,335026,Kings Lynn and West Norfolk 003,E02005553,5,outside,outside,False,1051,245.0,380.0,6.0
1052,60,572682,326324,Kings Lynn and West Norfolk 004,E02005554,5,outside,outside,False,1052,239.0,424.0,6.0
1053,61,563735,324937,Kings Lynn and West Norfolk 005,E02005555,5,outside,outside,False,1053,157.0,328.0,9.0
1054,62,564729,321846,Kings Lynn and West Norfolk 006,E02005556,5,outside,outside,False,1054,171.0,266.0,2.0
1055,63,561922,321750,Kings Lynn and West Norfolk 007,E02005557,5,outside,outside,False,1055,261.0,233.0,1.0
1056,64,556132,321469,Kings Lynn and West Norfolk 008,E02005558,5,outside,outside,False,1056,210.0,465.0,10.0
1057,65,563299,320193,Kings Lynn and West Norfolk 009,E02005559,5,outside,outside,False,1057,677.0,288.0,1.0
1058,66,564661,320442,Kings Lynn and West Norfolk 010,E02005560,5,outside,outside,False,1058,575.0,331.0,3.0
1059,67,561633,317831,Kings Lynn and West Norfolk 011,E02005561,5,outside,outside,False,1059,1224.0,427.0,24.0
1060,68,573368,317955,Kings Lynn and West Norfolk 012,E02005562,5,outside,outside,False,1060,347.0,424.0,27.0
1061,69,550917,312485,Kings Lynn and West Norfolk 013,E02005563,5,outside,outside,False,1061,404.0,509.0,38.0
1062,70,566425,311599,Kings Lynn and West Norfolk 014,E02005564,5,outside,outside,False,1062,574.0,626.0,42.0
1063,71,557541,312565,Kings Lynn and West Norfolk 015,E02005565,5,outside,outside,False,1063,184.0,631.0,2.0
1064,72,553591,300835,Kings Lynn and West Norfolk 016,E02005566,5,outside,outside,False,1064,334.0,758.0,24.0
1065,73,561283,303253,Kings Lynn and West Norfolk 017,E02005567,5,outside,outside,False,1065,484.0,541.0,1.0
1066,74,564795,301112,Kings Lynn and West Norfolk 018,E02005568,5,outside,outside,False,1066,251.0,490.0,11.0
1067,75,569160,292552,Kings Lynn and West Norfolk 019,E02005569,5,outside,outside,False,1067,361.0,657.0,27.0
1068,76,615592,342767,North Norfolk 001,E02005570,6,outside,outside,False,1068,169.0,318.0,0.0
1069,77,597939,340705,North Norfolk 002,E02005571,6,outside,outside,False,1069,118.0,277.0,3.0
1070,78,621818,341439,North Norfolk 003,E02005572,6,outside,outside,False,1070,392.0,289.0,0.0
1071,79,608334,341412,North Norfolk 004,E02005573,6,outside,outside,False,1071,206.0,253.0,3.0
1072,80,622614,338597,North Norfolk 005,E02005574,6,outside,outside,False,1072,148.0,273.0,8.0
1073,81,615411,334871,North Norfolk 006,E02005575,6,outside,outside,False,1073,211.0,400.0,12.0
1074,82,629482,334125,North Norfolk 007,E02005576,6,outside,outside,False,1074,150.0,318.0,8.0
1075,83,601678,331682,North Norfolk 008,E02005577,6,outside,outside,False,1075,162.0,360.0,4.0
1076,84,590809,331494,North Norfolk 009,E02005578,6,outside,outside,False,1076,196.0,358.0,23.0
1077,85,628087,329936,North Norfolk 010,E02005579,6,outside,outside,False,1077,401.0,694.0,8.0
1078,86,592947,330792,North Norfolk 011,E02005580,6,outside,outside,False,1078,500.0,332.0,1.0
1079,87,630176,327066,North Norfolk 012,E02005581,6,outside,outside,False,1079,258.0,616.0,18.0
1080,88,639916,325857,North Norfolk 013,E02005582,6,outside,outside,False,1080,228.0,366.0,12.0
1081,89,637561,320196,North Norfolk 014,E02005583,6,outside,outside,False,1081,360.0,571.0,23.0
1082,90,622530,312336,Norwich 001,E02005584,15,inside,inside,True,1082,1543.0,592.0,13.0
1083,91,621588,310431,Norwich 002,E02005585,15,inside,inside,True,1083,566.0,474.0,2.0
1084,92,623371,310192,Norwich 003,E02005586,15,inside,inside,True,1084,409.0,415.0,0.0
1085,93,625208,309908,Norwich 004,E02005587,15,inside,inside,True,1085,444.0,481.0,1.0
1086,94,618176,309206,Norwich 005,E02005588,16,inside,inside,True,1086,569.0,733.0,1.0
1087,95,620346,309492,Norwich 006,E02005589,16,inside,inside,True,1087,728.0,625.0,17.0
1088,96,622651,308965,Norwich 007,E02005590,16,inside,inside,True,1088,3543.0,463.0,6.0
1089,97,621627,308335,Norwich 009,E02005592,16,inside,inside,True,1089,265.0,391.0,8.0
1090,98,619793,307934,Norwich 010,E02005593,16,inside,inside,True,1090,1045.0,714.0,7.0
1091,99,622475,307519,Norwich 011,E02005594,16,inside,inside,True,1091,739.0,402.0,3.0
1092,100,620958,306433,Norwich 012,E02005595,16,inside,inside,True,1092,268.0,395.0,1.0
1093,101,623031,306264,Norwich 013,E02005596,16,inside,inside,True,1093,793.0,466.0,2.0
1094,102,617067,311478,South Norfolk 001,E02005597,10,outside,inside,True,1094,414.0,948.0,15.0
1095,103,614745,307501,South Norfolk 002,E02005598,10,outside,inside,True,1095,1346.0,633.0,39.0
1096,104,615956,304810,South Norfolk 003,E02005599,10,outside,outside,True,1096,245.0,349.0,1.0
1097,105,605926,303457,South Norfolk 004,E02005600,10,outside,outside,True,1097,347.0,462.0,6.0
1098,106,610647,303767,South Norfolk 005,E02005601,10,outside,outside,True,1098,267.0,341.0,0.0
1099,107,627829,300965,South Norfolk 006,E02005602,12,outside,outside,True,1099,503.0,840.0,8.0
1100,108,611218,299466,South Norfolk 007,E02005603,10,outside,outside,True,1100,761.0,664.0,9.0
1101,109,633383,302263,South Norfolk 008,E02005604,12,outside,outside,True,1101,308.0,663.0,15.0
1102,110,620230,299441,South Norfolk 009,E02005605,11,outside,outside,True,1102,441.0,793.0,14.0
1103,111,642360,295991,South Norfolk 010,E02005606,12,outside,outside,True,1103,263.0,417.0,5.0
1104,112,615044,292954,South Norfolk 011,E02005607,11,outside,outside,True,1104,503.0,745.0,38.0
