Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: Inter_peak
purpose: IB_HBO
level: 3
zone_count: 120
matrix_sum: 111865.0
interzonal_sum: 109310.0
intrazonal_sum: 2555.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_IB_HBO_Road.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1052,60,572682,326324,Kings Lynn and West Norfolk 004,E02005554,5,outside,outside,False,1052,554.0,1094.0,11.0
1053,61,563735,324937,Kings Lynn and West Norfolk 005,E02005555,5,outside,outside,False,1053,351.0,626.0,14.0
1054,62,564729,321846,Kings Lynn and West Norfolk 006,E02005556,5,outside,outside,False,1054,267.0,559.0,3.0
1055,63,561922,321750,Kings Lynn and West Norfolk 007,E02005557,5,outside,outside,False,1055,709.0,336.0,1.0
1056,64,556132,321469,Kings Lynn and West Norfolk 008,E02005558,5,outside,outside,False,1056,341.0,813.0,13.0
1057,65,563299,320193,Kings Lynn and West Norfolk 009,E02005559,5,outside,outside,False,1057,1720.0,483.0,2.0
1058,66,564661,320442,Kings Lynn and West Norfolk 010,E02005560,5,outside,outside,False,1058,1234.0,596.0,7.0
1059,67,561633,317831,Kings Lynn and West Norfolk 011,E02005561,5,outside,outside,False,1059,3140.0,723.0,38.0
1060,68,573368,317955,Kings Lynn and West Norfolk 012,E02005562,5,outside,outside,False,1060,581.0,730.0,27.0
1061,69,550917,312485,Kings Lynn and West Norfolk 013,E02005563,5,outside,outside,False,1061,594.0,809.0,49.0
1062,70,566425,311599,Kings Lynn and West Norfolk 014,E02005564,5,outside,outside,False,1062,964.0,1047.0,70.0
1063,71,557541,312565,Kings Lynn and West Norfolk 015,E02005565,5,outside,outside,False,1063,290.0,1122.0,4.0
1064,72,553591,300835,Kings Lynn and West Norfolk 016,E02005566,5,outside,outside,False,1064,461.0,1342.0,31.0
1065,73,561283,303253,Kings Lynn and West Norfolk 017,E02005567,5,outside,outside,False,1065,788.0,1020.0,0.0
1066,74,564795,301112,Kings Lynn and West Norfolk 018,E02005568,5,outside,outside,False,1066,465.0,872.0,21.0
1067,75,569160,292552,Kings Lynn and West Norfolk 019,E02005569,5,outside,outside,False,1067,664.0,1150.0,46.0
1068,76,615592,342767,North Norfolk 001,E02005570,6,outside,outside,False,1068,562.0,824.0,1.0
1069,77,597939,340705,North Norfolk 002,E02005571,6,outside,outside,False,1069,465.0,720.0,11.0
1070,78,621818,341439,North Norfolk 003,E02005572,6,outside,outside,False,1070,1282.0,681.0,0.0
1071,79,608334,341412,North Norfolk 004,E02005573,6,outside,outside,False,1071,864.0,697.0,10.0
1072,80,622614,338597,North Norfolk 005,E02005574,6,outside,outside,False,1072,516.0,792.0,20.0
1073,81,615411,334871,North Norfolk 006,E02005575,6,outside,outside,False,1073,711.0,882.0,29.0
1074,82,629482,334125,North Norfolk 007,E02005576,6,outside,outside,False,1074,376.0,773.0,14.0
1075,83,601678,331682,North Norfolk 008,E02005577,6,outside,outside,False,1075,347.0,745.0,15.0
1076,84,590809,331494,North Norfolk 009,E02005578,6,outside,outside,False,1076,577.0,694.0,47.0
1077,85,628087,329936,North Norfolk 010,E02005579,6,outside,outside,False,1077,1082.0,1448.0,8.0
1078,86,592947,330792,North Norfolk 011,E02005580,6,outside,outside,False,1078,1386.0,660.0,1.0
1079,87,630176,327066,North Norfolk 012,E02005581,6,outside,outside,False,1079,679.0,1258.0,34.0
1080,88,639916,325857,North Norfolk 013,E02005582,6,outside,outside,False,1080,605.0,821.0,21.0
1081,89,637561,320196,North Norfolk 014,E02005583,6,outside,outside,False,1081,942.0,1282.0,30.0
1082,90,622530,312336,Norwich 001,E02005584,15,inside,inside,True,1082,2468.0,933.0,17.0
1083,91,621588,310431,Norwich 002,E02005585,15,inside,inside,True,1083,1040.0,764.0,2.0
1084,92,623371,310192,Norwich 003,E02005586,15,inside,inside,True,1084,753.0,563.0,0.0
1085,93,625208,309908,Norwich 004,E02005587,15,inside,inside,True,1085,709.0,866.0,1.0
1086,94,618176,309206,Norwich 005,E02005588,16,inside,inside,True,1086,1113.0,1129.0,2.0
1087,95,620346,309492,Norwich 006,E02005589,16,inside,inside,True,1087,964.0,936.0,22.0
1088,96,622651,308965,Norwich 007,E02005590,16,inside,inside,True,1088,7151.0,565.0,5.0
1089,97,621627,308335,Norwich 009,E02005592,16,inside,inside,True,1089,461.0,500.0,6.0
