501,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.02,0.01,0.00,0.01,0.01,0.06,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.02,0.11,0.00,0.00,0.01,0.01,0.00,0.00,0.11,0.06,0.02,0.06,0.03,0.03,0.04,0.21,0.06,0.03,0.11,0.01,0.01,0.01,0.00,0.02,0.01,0.01,0.01,0.00,0.00,0.03,0.01,0.01,0.00,0.06,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.07,0.03,0.07,0.04,0.03,0.07,0.00,0.06,0.03,0.01,0.00,0.00,0.07,0.08,0.00,0.01,0.01,0.02,0.05,0.02,0.01,0.02,0.01,0.03,0.00,0.00,0.00,0.00,0.14,0.00,0.01,0.01,0.01,0.14,0.00,0.00,0.00,0.11,0.08,0.06,0.00,0.06,0.00,0.11,0.08,0.06,0.02,0.00,0.01,0.06,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.02,0.05,0.04,0.01,0.01,0.01,0.14,0.03
502,0.00,0.01,0.01,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.04,0.02,0.03,0.02,0.01,0.01,0.02,0.11,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.00,0.01,0.00,0.04,0.05,0.21,0.00,0.01,0.02,0.01,0.00,0.01,0.21,0.11,0.04,0.11,0.06,0.05,0.08,0.39,0.12,0.05,0.21,0.01,0.01,0.02,0.00,0.03,0.02,0.02,0.02,0.01,0.00,0.05,0.02,0.01,0.00,0.10,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.12,0.05,0.12,0.07,0.06,0.13,0.00,0.12,0.05,0.01,0.01,0.01,0.14,0.15,0.00,0.02,0.01,0.03,0.09,0.04,0.03,0.03,0.03,0.07,0.01,0.01,0.01,0.00,0.26,0.00,0.03,0.02,0.03,0.27,0.00,0.00,0.00,0.21,0.16,0.11,0.00,0.11,0.00,0.21,0.16,0.11,0.04,0.00,0.01,0.11,0.01,0.11,0.01,0.01,0.00,0.00,0.00,0.04,0.10,0.08,0.01,0.02,0.02,0.27,0.05
504,0.00,0.01,0.01,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.02,0.04,0.02,0.03,0.02,0.01,0.01,0.02,0.11,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.00,0.01,0.00,0.04,0.05,0.23,0.00,0.01,0.02,0.02,0.00,0.01,0.23,0.12,0.04,0.12,0.07,0.05,0.09,0.43,0.13,0.06,0.23,0.01,0.01,0.02,0.00,0.03,0.02,0.02,0.02,0.01,0.00,0.06,0.02,0.01,0.00,0.11,0.01,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.13,0.05,0.13,0.07,0.07,0.14,0.00,0.13,0.06,0.01,0.01,0.01,0.15,0.16,0.00,0.02,0.01,0.03,0.10,0.05,0.03,0.03,0.03,0.07,0.01,0.01,0.01,0.00,0.28,0.00,0.03,0.02,0.03,0.29,0.00,0.00,0.00,0.23,0.17,0.12,0.00,0.12,0.00,0.23,0.17,0.12,0.05,0.00,0.02,0.12,0.01,0.12,0.01,0.01,0.00,0.00,0.00,0.04,0.11,0.08,0.01,0.02,0.02,0.30,0.06
505,0.01,0.02,0.02,0.06,0.01,0.00,0.01,0.02,0.01,0.01,0.01,0.04,0.01,0.01,0.05,0.03,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.04,0.10,0.04,0.07,0.04,0.02,0.03,0.06,0.27,0.04,0.11,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.02,0.05,0.02,0.02,0.05,0.01,0.04,0.01,0.02,0.00,0.09,0.12,0.55,0.00,0.02,0.05,0.04,0.01,0.01,0.55,0.28,0.10,0.28,0.16,0.13,0.21,1.01,0.30,0.14,0.55,0.03,0.03,0.05,0.00,0.07,0.05,0.04,0.05,0.02,0.00,0.14,0.05,0.03,0.01,0.27,0.02,0.04,0.03,0.02,0.02,0.02,0.00,0.01,0.00,0.00,0.32,0.12,0.32,0.18,0.16,0.33,0.00,0.30,0.13,0.03,0.02,0.02,0.36,0.39,0.00,0.05,0.03,0.08,0.23,0.11,0.07,0.07,0.07,0.17,0.02,0.02,0.02,0.01,0.66,0.00,0.07,0.05,0.07,0.69,0.00,0.00,0.00,0.55,0.41,0.28,0.00,0.28,0.00,0.55,0.41,0.28,0.11,0.01,0.04,0.28,0.02,0.29,0.04,0.01,0.00,0.00,0.00,0.09,0.26,0.20,0.03,0.05,0.05,0.70,0.14
506,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.07,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.03,0.14,0.00,0.01,0.01,0.01,0.00,0.00,0.14,0.07,0.03,0.07,0.04,0.03,0.05,0.26,0.08,0.04,0.14,0.01,0.01,0.01,0.00,0.02,0.01,0.01,0.01,0.01,0.00,0.04,0.01,0.01,0.00,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.08,0.03,0.08,0.04,0.04,0.09,0.00,0.08,0.03,0.01,0.01,0.01,0.09,0.10,0.00,0.01,0.01,0.02,0.06,0.03,0.02,0.02,0.02,0.04,0.00,0.01,0.01,0.00,0.17,0.00,0.02,0.01,0.02,0.18,0.00,0.00,0.00,0.14,0.11,0.07,0.00,0.07,0.00,0.14,0.11,0.07,0.03,0.00,0.01,0.07,0.01,0.07,0.01,0.00,0.00,0.00,0.00,0.02,0.07,0.05,0.01,0.01,0.01,0.18,0.04
509,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.07,0.02,0.01,0.04,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.01,0.01,0.02,0.00,0.02,0.01,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.04,0.03,0.02,0.00,0.02,0.00,0.04,0.03,0.02,0.01,0.00,0.00,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.00,0.05,0.01
511,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.02,0.01,0.00,0.01,0.01,0.06,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.02,0.11,0.00,0.00,0.01,0.01,0.00,0.00,0.11,0.06,0.02,0.06,0.03,0.03,0.04,0.21,0.06,0.03,0.11,0.01,0.01,0.01,0.00,0.02,0.01,0.01,0.01,0.00,0.00,0.03,0.01,0.01,0.00,0.06,0.00,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.07,0.03,0.07,0.04,0.03,0.07,0.00,0.06,0.03,0.01,0.00,0.00,0.08,0.08,0.00,0.01,0.01,0.02,0.05,0.02,0.01,0.02,0.01,0.03,0.00,0.00,0.00,0.00,0.14,0.00,0.01,0.01,0.01,0.14,0.00,0.00,0.00,0.11,0.09,0.06,0.00,0.06,0.00,0.11,0.09,0.06,0.02,0.00,0.01,0.06,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.02,0.05,0.04,0.01,0.01,0.01,0.15,0.03
512,0.00,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.01,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.02,0.07,0.00,0.00,0.01,0.01,0.00,0.00,0.13,0.10,0.06,0.04,0.06,0.02,0.03,0.20,0.06,0.02,0.07,0.02,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.06,0.03,0.03,0.06,0.00,0.06,0.02,0.01,0.00,0.00,0.07,0.08,0.00,0.01,0.01,0.01,0.13,0.04,0.02,0.02,0.01,0.05,0.01,0.00,0.00,0.00,0.13,0.06,0.01,0.01,0.01,0.21,0.00,0.00,0.00,0.07,0.18,0.10,0.00,0.04,0.00,0.13,0.05,0.04,0.01,0.00,0.00,0.04,0.00,0.06,0.01,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.00,0.01,0.01,0.14,0.02
513,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.00,0.01,0.00,0.00,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
514,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.07,0.00,0.00,0.01,0.00,0.00,0.00,0.07,0.03,0.01,0.03,0.02,0.01,0.02,0.12,0.04,0.02,0.07,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.02,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.04,0.02,0.02,0.04,0.00,0.04,0.02,0.00,0.00,0.00,0.04,0.05,0.00,0.01,0.00,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.08,0.00,0.01,0.01,0.01,0.08,0.00,0.00,0.00,0.07,0.05,0.03,0.00,0.03,0.00,0.07,0.05,0.03,0.01,0.00,0.00,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.02,0.00,0.01,0.01,0.08,0.02
