16,1.72,3.29,47.55,2.58,7.17,40.37,27.68,2.26,109.60,51.43,100.20,103.38,0.00
1,0.00,0.00,5.05,0.00,4.11,2.05,2.05,0.00,0.68,0.68,1.37,1.37,2.74
2,0.00,744.88,21.42,0.62,38.54,7.06,4.05,2.92,11.85,2.56,4.38,5.36,10.71
3,2.74,13.91,1660.84,17.72,115.60,22.73,44.50,6.78,100.43,57.47,14.37,24.31,60.84
4,0.00,0.00,0.00,0.00,1.06,0.68,2.05,0.53,1.59,0.01,0.00,2.04,3.42
5,7.53,43.34,130.47,2.12,1333.50,36.17,6.85,16.27,20.06,0.58,7.12,3.08,11.22
6,2.05,10.80,15.71,1.37,21.87,345.54,8.04,1.86,12.83,2.74,19.45,16.96,23.44
7,0.68,6.11,43.07,2.05,1.10,16.63,0.00,0.00,4.53,5.71,1.77,9.82,11.22
8,1.37,2.24,6.91,0.00,20.58,4.54,1.68,71.11,9.17,0.01,1.14,0.56,2.99
9,4.79,18.90,141.06,5.83,36.61,13.44,10.23,8.11,1021.09,24.38,30.93,19.84,73.77
11,0.68,3.29,80.23,1.59,6.28,6.49,6.90,0.00,43.12,0.00,11.79,16.06,57.13
13,0.00,2.56,20.64,1.37,8.40,38.93,5.26,1.70,30.15,5.29,82.84,16.08,31.18
14,0.68,6.06,31.78,0.68,1.77,19.30,15.45,1.39,22.71,11.07,17.20,0.00,57.77
16,2.05,8.04,50.64,4.11,13.15,21.81,12.40,1.71,58.80,25.92,25.02,40.06,0.00
1,0.00,0.00,0.91,0.00,1.62,0.25,0.40,0.00,0.08,0.09,0.50,0.68,1.00
2,0.00,2.16,13.88,0.55,155.83,2.42,0.96,3.82,8.49,1.18,2.67,0.80,2.83
3,1.16,11.88,296.58,0.29,158.99,14.98,100.09,4.85,162.39,102.17,17.85,42.54,89.21
4,0.00,0.00,0.80,0.00,1.23,0.08,0.25,0.27,2.85,0.03,0.00,0.76,0.93
5,1.44,74.21,261.49,4.50,1209.79,32.98,3.38,42.00,34.30,2.72,9.10,5.09,13.16
6,0.90,5.31,14.81,0.35,28.55,391.18,39.75,6.75,30.21,3.94,69.40,28.62,71.31
7,0.08,1.66,73.41,0.58,0.49,35.01,346.55,0.00,8.86,6.58,5.26,59.26,25.61
8,0.17,2.07,9.54,0.00,40.39,7.67,0.70,12.39,42.80,0.87,5.85,2.29,7.26
9,0.78,11.96,263.18,9.12,46.09,26.08,9.86,32.09,579.54,58.21,60.66,39.45,216.73
11,0.27,1.42,128.43,2.19,3.71,4.83,9.93,1.70,74.64,226.48,20.42,32.34,144.96
13,0.37,1.85,25.75,0.68,10.84,80.01,4.28,4.03,92.67,16.55,255.47,67.23,430.11
14,0.08,1.47,48.24,0.60,5.07,23.16,115.35,0.38,41.67,23.60,51.95,218.76,229.77
16,0.62,2.37,53.34,1.49,14.41,27.42,18.73,2.08,118.89,44.41,158.65,101.50,597.92
1,0.00,0.00,0.00,6.32,12.65,0.00,6.33,0.00,0.00,0.00,0.00,6.33,0.00
2,0.00,6.33,37.95,0.00,107.52,31.62,12.65,12.65,63.25,12.65,18.97,12.65,37.95
3,12.65,37.95,227.69,0.00,221.37,50.60,75.90,18.97,322.57,107.85,25.30,62.93,88.55
4,0.00,0.00,0.00,0.00,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,25.30,145.47,278.30,12.65,164.45,44.28,6.32,18.97,63.25,6.43,12.65,12.54,12.65
6,0.00,37.95,56.93,6.33,37.95,63.25,6.32,0.00,12.65,0.00,50.60,12.65,18.97
7,0.00,0.00,56.92,6.33,18.97,12.65,12.65,0.00,12.65,6.33,0.00,6.32,12.65
8,0.00,6.32,6.32,0.00,6.33,0.00,0.00,6.32,12.65,6.32,0.00,0.00,0.00
9,6.33,44.28,360.52,44.28,75.90,25.30,6.32,18.97,196.07,44.71,37.95,43.84,82.22
11,6.33,18.98,132.93,6.33,6.32,25.41,6.43,0.00,18.98,25.52,38.05,31.41,50.71
13,0.00,12.65,69.57,6.33,6.32,44.27,0.00,0.00,6.32,0.00,44.27,6.32,37.95
14,0.00,12.65,63.14,0.00,12.65,31.52,25.19,0.00,44.27,18.98,31.52,0.00,56.82
16,12.65,25.30,75.91,0.00,12.65,31.62,12.65,0.00,50.60,12.65,6.32,31.62,31.63
