Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: Inter_peak
purpose: OB_HBO
level: 4
zone_count: 120
matrix_sum: 103367.0
interzonal_sum: 100890.0
intrazonal_sum: 2477.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_OB_HBO_Road.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1,0,525527,177728,south_east,,3,outside,outside,False,1,4417.0,3881.0,155.0
2,1,319326,213614,south_west_and_wales,,2,outside,outside,False,2,296.0,174.0,0.0
3,2,404480,482143,north_and_scotland,,1,outside,outside,False,3,290.0,189.0,0.0
4,3,480247,337072,east_midlands,,2,outside,outside,False,4,1831.0,1073.0,18.0
5,4,528496,267268,cam_pet_bed,,3,outside,outside,False,5,3076.0,3894.0,490.0
6,5,531214,179650,london,,4,outside,outside,False,6,315.0,337.0,0.0
7,6,642388,284397,beccles,,3,outside,outside,False,7,2600.0,2319.0,274.0
8,7,653108,293170,lowestoft,,3,outside,outside,False,8,2770.0,2030.0,15.0
9,8,572760,276319,mildenhall,,3,outside,outside,False,9,1062.0,1066.0,25.0
1001,9,601655,320487,Breckland 001,E02005503,8,outside,outside,False,1001,966.0,615.0,32.0
1002,10,586690,317550,Breckland 002,E02005504,8,outside,outside,False,1002,1110.0,605.0,61.0
1003,11,600256,314009,Breckland 003,E02005505,8,outside,outside,False,1003,671.0,455.0,30.0
1004,12,592600,312643,Breckland 004,E02005506,8,outside,outside,False,1004,635.0,271.0,19.0
1005,13,599301,311976,Breckland 005,E02005507,8,outside,outside,False,1005,971.0,2264.0,10.0
1006,14,603084,308828,Breckland 006,E02005508,9,outside,outside,False,1006,820.0,373.0,11.0
1007,15,581189,308735,Breckland 007,E02005509,8,outside,outside,False,1007,828.0,652.0,4.0
1008,16,591391,306338,Breckland 008,E02005510,9,outside,outside,False,1008,772.0,263.0,13.0
1009,17,592005,300611,Breckland 009,E02005511,9,outside,outside,False,1009,667.0,555.0,1.0
1010,18,595155,295895,Breckland 010,E02005512,9,outside,outside,False,1010,994.0,501.0,33.0
1011,19,603998,295067,Breckland 011,E02005513,9,outside,outside,False,1011,920.0,806.0,3.0
1012,20,581682,297063,Breckland 012,E02005514,9,outside,outside,False,1012,838.0,407.0,23.0
1013,21,604853,290790,Breckland 013,E02005515,9,outside,outside,False,1013,672.0,390.0,7.0
1014,22,597539,284128,Breckland 014,E02005516,9,outside,outside,False,1014,797.0,465.0,20.0
1015,23,585826,285759,Breckland 015,E02005517,9,outside,outside,False,1015,341.0,1011.0,1.0
1016,24,587791,283588,Breckland 016,E02005518,9,outside,outside,False,1016,631.0,762.0,0.0
1017,25,584480,283022,Breckland 017,E02005519,9,outside,outside,False,1017,504.0,649.0,4.0
1018,26,618363,326863,Broadland 001,E02005520,13,outside,outside,True,1018,996.0,831.0,20.0
1019,27,610716,321553,Broadland 002,E02005521,13,outside,outside,True,1019,1100.0,876.0,16.0
1020,28,625306,320263,Broadland 003,E02005522,14,outside,outside,True,1020,753.0,382.0,6.0
1021,29,619690,318749,Broadland 004,E02005523,13,outside,outside,True,1021,1066.0,679.0,26.0
1022,30,623390,315202,Broadland 005,E02005524,14,outside,outside,True,1022,643.0,174.0,1.0
1023,31,615911,314230,Broadland 006,E02005525,13,outside,outside,True,1023,1238.0,510.0,3.0
1024,32,618206,313913,Broadland 007,E02005526,13,outside,outside,True,1024,648.0,457.0,4.0
1025,33,629373,314134,Broadland 008,E02005527,14,outside,outside,True,1025,1081.0,838.0,14.0
1026,34,623554,312619,Broadland 009,E02005528,14,inside,inside,True,1026,781.0,282.0,2.0
1027,35,620077,312145,Broadland 010,E02005529,13,inside,inside,True,1027,597.0,821.0,8.0
1028,36,621149,311920,Broadland 011,E02005530,13,inside,inside,True,1028,467.0,582.0,1.0
1029,37,625170,312679,Broadland 012,E02005531,14,inside,inside,True,1029,553.0,234.0,4.0
1030,38,625986,311747,Broadland 013,E02005532,14,inside,inside,True,1030,777.0,1024.0,4.0
