Matrix Object
vehicle_type: Road
value_type: Person Trips
time_period: PM_peak_hr
purpose: IB_HBO
level: 3
zone_count: 120
matrix_sum: 20867.0
interzonal_sum: 20325.0
intrazonal_sum: 542.0
Comments:
Imported matrix from C:\Users\UKTMB001\Documents\Python Scripts\MND\20200220 - Deliverable 1 Matrices\D1_Weekday_IB_HBO_Road.csv
MND Raw Data
reference,index,x_coord,y_coord,area_ref,msoa,sector,cordon_inner,cordon_outer,Internal,Unnamed: 9,o_total,d_total,intrazonal
1052,60,572682,326324,Kings Lynn and West Norfolk 004,E02005554,5,outside,outside,False,1052,89.0,170.0,2.0
1053,61,563735,324937,Kings Lynn and West Norfolk 005,E02005555,5,outside,outside,False,1053,62.0,118.0,3.0
1054,62,564729,321846,Kings Lynn and West Norfolk 006,E02005556,5,outside,outside,False,1054,47.0,105.0,1.0
1055,63,561922,321750,Kings Lynn and West Norfolk 007,E02005557,5,outside,outside,False,1055,96.0,73.0,0.0
1056,64,556132,321469,Kings Lynn and West Norfolk 008,E02005558,5,outside,outside,False,1056,74.0,158.0,3.0
1057,65,563299,320193,Kings Lynn and West Norfolk 009,E02005559,5,outside,outside,False,1057,250.0,88.0,1.0
1058,66,564661,320442,Kings Lynn and West Norfolk 010,E02005560,5,outside,outside,False,1058,195.0,112.0,1.0
1059,67,561633,317831,Kings Lynn and West Norfolk 011,E02005561,5,outside,outside,False,1059,466.0,149.0,8.0
1060,68,573368,317955,Kings Lynn and West Norfolk 012,E02005562,5,outside,outside,False,1060,111.0,143.0,6.0
1061,69,550917,312485,Kings Lynn and West Norfolk 013,E02005563,5,outside,outside,False,1061,119.0,165.0,12.0
1062,70,566425,311599,Kings Lynn and West Norfolk 014,E02005564,5,outside,outside,False,1062,189.0,210.0,14.0
1063,71,557541,312565,Kings Lynn and West Norfolk 015,E02005565,5,outside,outside,False,1063,57.0,200.0,1.0
1064,72,553591,300835,Kings Lynn and West Norfolk 016,E02005566,5,outside,outside,False,1064,100.0,266.0,6.0
1065,73,561283,303253,Kings Lynn and West Norfolk 017,E02005567,5,outside,outside,False,1065,152.0,188.0,1.0
1066,74,564795,301112,Kings Lynn and West Norfolk 018,E02005568,5,outside,outside,False,1066,86.0,171.0,3.0
1067,75,569160,292552,Kings Lynn and West Norfolk 019,E02005569,5,outside,outside,False,1067,121.0,252.0,8.0
1068,76,615592,342767,North Norfolk 001,E02005570,6,outside,outside,False,1068,81.0,132.0,0.0
1069,77,597939,340705,North Norfolk 002,E02005571,6,outside,outside,False,1069,72.0,117.0,0.0
1070,78,621818,341439,North Norfolk 003,E02005572,6,outside,outside,False,1070,167.0,117.0,0.0
1071,79,608334,341412,North Norfolk 004,E02005573,6,outside,outside,False,1071,124.0,122.0,1.0
1072,80,622614,338597,North Norfolk 005,E02005574,6,outside,outside,False,1072,70.0,125.0,5.0
1073,81,615411,334871,North Norfolk 006,E02005575,6,outside,outside,False,1073,108.0,168.0,6.0
1074,82,629482,334125,North Norfolk 007,E02005576,6,outside,outside,False,1074,59.0,127.0,3.0
1075,83,601678,331682,North Norfolk 008,E02005577,6,outside,outside,False,1075,59.0,155.0,2.0
1076,84,590809,331494,North Norfolk 009,E02005578,6,outside,outside,False,1076,93.0,128.0,6.0
1077,85,628087,329936,North Norfolk 010,E02005579,6,outside,outside,False,1077,172.0,270.0,3.0
1078,86,592947,330792,North Norfolk 011,E02005580,6,outside,outside,False,1078,206.0,125.0,0.0
1079,87,630176,327066,North Norfolk 012,E02005581,6,outside,outside,False,1079,111.0,241.0,10.0
1080,88,639916,325857,North Norfolk 013,E02005582,6,outside,outside,False,1080,84.0,137.0,5.0
1081,89,637561,320196,North Norfolk 014,E02005583,6,outside,outside,False,1081,149.0,223.0,8.0
1082,90,622530,312336,Norwich 001,E02005584,15,inside,inside,True,1082,485.0,172.0,4.0
1083,91,621588,310431,Norwich 002,E02005585,15,inside,inside,True,1083,177.0,136.0,0.0
1084,92,623371,310192,Norwich 003,E02005586,15,inside,inside,True,1084,126.0,125.0,0.0
1085,93,625208,309908,Norwich 004,E02005587,15,inside,inside,True,1085,115.0,154.0,0.0
1086,94,618176,309206,Norwich 005,E02005588,16,inside,inside,True,1086,213.0,235.0,0.0
1087,95,620346,309492,Norwich 006,E02005589,16,inside,inside,True,1087,205.0,177.0,6.0
1088,96,622651,308965,Norwich 007,E02005590,16,inside,inside,True,1088,1273.0,122.0,2.0
1089,97,621627,308335,Norwich 009,E02005592,16,inside,inside,True,1089,98.0,110.0,1.0
1090,98,619793,307934,Norwich 010,E02005593,16,inside,inside,True,1090,387.0,215.0,2.0
1091,99,622475,307519,Norwich 011,E02005594,16,inside,inside,True,1091,271.0,137.0,0.0
1092,100,620958,306433,Norwich 012,E02005595,16,inside,inside,True,1092,89.0,124.0,0.0
1093,101,623031,306264,Norwich 013,E02005596,16,inside,inside,True,1093,281.0,135.0,1.0
1094,102,617067,311478,South Norfolk 001,E02005597,10,outside,inside,True,1094,137.0,298.0,8.0
1095,103,614745,307501,South Norfolk 002,E02005598,10,outside,inside,True,1095,471.0,224.0,16.0
1096,104,615956,304810,South Norfolk 003,E02005599,10,outside,outside,True,1096,73.0,120.0,0.0
1097,105,605926,303457,South Norfolk 004,E02005600,10,outside,outside,True,1097,145.0,166.0,3.0
1098,106,610647,303767,South Norfolk 005,E02005601,10,outside,outside,True,1098,112.0,108.0,0.0
1099,107,627829,300965,South Norfolk 006,E02005602,12,outside,outside,True,1099,186.0,290.0,3.0
1100,108,611218,299466,South Norfolk 007,E02005603,10,outside,outside,True,1100,285.0,212.0,4.0
