 5010 1210         1  236  156  5.7  198  138  4.6   33    6  5.9    5   11    2
 1210 5010         1  232  151  5.8  194  115  6.4   32   21  2.1    5   15    3
 1340 1209         2  713  713    0  563  521  1.8   93  105  1.3   58   87  3.4
 1209 1340         2  745  820  2.7  587  579  0.3   97  133  3.4   61  108  5.1
 6006 3002         1  259  310    3  208  262  3.5   34   39  0.8   16    9  2.2
 3002 6006         1  266  234    2  211  193  1.3   35   30  0.9   20   11  2.3
 1323 2505         1  643  627  0.6  515  496  0.9   85   83  0.2   43   48  0.8
 2505 1323         1  676  684  0.3  547  560  0.5   90   85  0.5   38   39    0
 1319 1320         1  101   48  6.1   86   43  5.3   14    5    3    1    0  0.8
 1320 1319         1   95   80  1.6   81   71  1.1   13    5  2.7    1    4  2.2
 1352 1316         1  384  402  0.9  306  303  0.2   52   73  2.6   27   26  0.1
 1316 1352         1  356  388  1.7  266  296  1.8   57   60  0.4   32   32  0.1
 1314 1313         1  769  604  6.3  653  526  5.2  107   69  4.1    8    9  0.3
 1313 1314         1  691  579  4.4  585  477  4.7   96   84  1.3   10   17    2
 1228 1008         1  571  567  0.2  484  472  0.5   80   78  0.2    7   17  2.8
 1008 1228         1  565  574  0.4  478  475  0.1   79   79  0.1    9   20  2.8
 2037 1059         1  369  343  1.4  314  291  1.4   52   50  0.2    3    2  0.5
 1059 2037         1  406  411  0.2  347  352  0.3   57   55  0.3    2    3  0.5
 1058 1055         1  860  878  0.6  732  751  0.7  112  114  0.2   15   14  0.4
 1055 1058         1  601  608  0.3  507  509  0.1   82   87  0.6   12   12    0
 4010 1015         1  456  469  0.6  389  416  1.3   64   50  1.8    3    3    0
 1015 4010         1  401  390  0.6  343  348  0.3   56   39  2.5    2    2    0
 7040 2023         2  406  535    6  346  457  5.5   57   68  1.4    3   11  3.1
 2023 7040         2  443  552  4.9  378  473  4.6   62   72  1.2    3    7  1.6
 1013 7047         1  535  580  1.9  458  496  1.7   75   82  0.7    2    3  0.3
 7047 1013         1  505  536  1.4  431  455  1.1   71   73  0.3    3    8  2.2
 3019 7027         1  358  217  8.3  303  187  7.4   50   22  4.6    5    8  1.3
 7027 3019         1  364  445    4  309  343  1.9   51   92  4.8    4   11  2.6
 2149 2071         1  883  886  0.1  746  743  0.1  122  132  0.8   14   11  0.9
