Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed (kph),Distance (m),Average_Q (PCUs),Capacity (PCUs),V_C (%),Delay (s),Total_Time (s),Net_Speed_kph (kph),Actual_Flow_Total (PCUs),Demand_Flow_Total (PCUs),Capacity_Indices,Fixed_Flow (PCUs),Actual_Flow_UC1 (PCUs),Actual_Flow_UC2 (PCUs),Actual_Flow_UC3 (PCUs),Actual_Flow_UC4 (PCUs),Actual_Flow_UC5 (PCUs),Actual_Flow_UC6 (PCUs),Actual_Flow_UC7 (PCUs),Actual_Flow_UC8 (PCUs),Actual_Flow_UC9 (PCUs),Actual_Flow_UC10 (PCUs),Actual_Flow_%_HGV (%),Demand_Flow_UC1 (PCUs),Demand_Flow_UC2 (PCUs),Demand_Flow_UC3 (PCUs),Demand_Flow_UC4 (PCUs),Demand_Flow_UC5 (PCUs),Demand_Flow_UC6 (PCUs),Demand_Flow_UC7 (PCUs),Demand_Flow_UC8 (PCUs),Demand_Flow_UC9 (PCUs),Demand_Flow_UC10 (PCUs),Demand_Flow_%_HGV (%),Car_Veh_Actual_Tot,LGV_Veh_Actual_Tot,HGV_Veh_Actual_Tot,Car_PCU_Actual_Tot,LGV_PCU_Actual_Tot,HGV_PCU_Actual_Tot,Car_Veh_Demand_Tot,LGV_Veh_Demand_Tot,HGV_Veh_Demand_Tot,Car_PCU_Demand_Tot,LGV_PCU_Demand_Tot,HGV_PCU_Demand_Tot,Fixed_Tot,Fixed_PCU_Tot,Period,wkt_geom
5016-1001,5016,1001,56228,32175,56268,32206,1,64,545,0,1720,32.09,0.64,31.29,62.7,551.91,551.95,31,4,102.07,9.38,11.41,2.34,17.42,210.86,43.58,37.49,49.72,63.64,0.115308655,102.08,9.38,11.41,2.34,17.42,210.87,43.59,37.49,49.72,63.65,11.53184165,434.55,49.72,27.66956522,434.55,49.72,63.64,434.58,49.72,27.67391304,434.58,49.72,63.65,2,4,IP,"LineString (56228 32175, 56268 32206)"
7036-1001,7036,1001,56320,32219,56268,32206,1,64,542,0,1720,29.6,0.47,30.96,63.03,509.05,510.43,31,3.99,5.73,97.65,0.62,12.76,10.55,10.69,238.62,23.14,49.63,55.68,0.109380218,5.75,97.92,0.62,12.8,10.58,10.72,239.27,23.2,49.76,55.83,10.93783673,399.76,49.63,24.20869565,399.76,49.63,55.68,400.86,49.76,24.27391304,400.86,49.76,55.83,1.995,3.99,IP,"LineString (56320 32219, 56268 32206)"
7036-1002,7036,1002,56320,32219,56332,32221,2,64,121,1.69,3038.15,18.17,11.74,18.54,23.49,551.91,551.95,0,4,102.07,9.38,11.41,2.34,17.42,210.86,43.58,37.49,49.72,63.64,0.115308655,102.08,9.38,11.41,2.34,17.42,210.87,43.59,37.49,49.72,63.65,11.53184165,434.55,49.72,27.66956522,434.55,49.72,63.64,434.58,49.72,27.67391304,434.58,49.72,63.65,2,4,IP,"LineString (56320 32219, 56332 32221)"
7037-1002,7037,1002,56346,32224,56332,32221,2,64,150,2.01,1859.42,32.93,13.25,21.69,24.9,612.34,614.21,0,3.99,7.58,111.69,0.73,15.4,11.89,13.27,284.76,26.24,61.56,75.24,0.122872914,7.6,112.03,0.73,15.44,11.93,13.31,285.63,26.32,61.75,75.47,12.28732844,471.56,61.56,32.71304348,471.56,61.56,75.24,472.99,61.75,32.81304348,472.99,61.75,75.47,1.995,3.99,IP,"LineString (56346 32224, 56332 32221)"
4007-1002,4007,1002,56331,32209,56332,32221,1,30,132,2.49,421.54,66.21,44.55,60.39,7.87,279.1,279.11,0,0,40.73,9.95,5.59,1.35,7.88,96.66,29.6,18.28,37.95,31.12,0.111501254,40.73,9.95,5.59,1.35,7.88,96.66,29.6,18.28,37.95,31.12,11.14972591,210.04,37.95,13.53043478,210.04,37.95,31.12,210.04,37.95,13.53043478,210.04,37.95,31.12,0,0,IP,"LineString (56331 32209, 56332 32221)"
7045-1003,7045,1003,56405,32233,56415,32236,1,64,102,0.03,2700.27,23.95,1.51,7.25,50.64,646.64,646.68,0,4,135.77,4.46,15.95,0.82,13.12,287.79,16.33,28.66,63.52,76.24,0.117901769,135.78,4.46,15.95,0.82,13.12,287.81,16.33,28.66,63.53,76.24,11.78944764,502.9,63.52,33.14782609,502.9,63.52,76.24,502.93,63.53,33.14782609,502.93,63.53,76.24,2,4,IP,"LineString (56405 32233, 56415 32236)"
2789-1003,2789,1003,56429,32241,56415,32236,1,64,140,0,1874.5,27.38,1.32,9.2,54.8,513.15,515.08,0,3.98,6.84,94.79,0.57,13.14,6.24,9.78,249.19,13.71,47.42,67.47,0.131482023,6.87,95.15,0.57,13.19,6.27,9.82,250.13,13.76,47.6,67.73,13.14941368,394.26,47.42,29.33478261,394.26,47.42,67.47,395.76,47.6,29.44782609,395.76,47.6,67.73,1.99,3.98,IP,"LineString (56429 32241, 56415 32236)"
7506-1003,7506,1003,56418,32209,56415,32236,1,48,290,0.05,1587.66,9.72,2.04,23.79,43.89,154.26,154.28,0,0,7.33,21.58,0.99,3.12,5.89,25.84,53.41,13.34,15.01,7.76,0.05030468,7.33,21.59,0.99,3.12,5.89,25.85,53.42,13.34,15.01,7.76,5.029815919,131.5,15.01,3.373913043,131.5,15.01,7.76,131.53,15.01,3.373913043,131.53,15.01,7.76,0,0,IP,"LineString (56418 32209, 56415 32236)"
2014-1004,2014,1004,56419,32204,56416,32201,2,48,40,0.02,2919.78,15.28,1.86,4.86,29.63,446.25,446.37,0,4,10.81,86.12,1.67,10.82,7.46,31.2,213.91,17.94,56.3,6.02,0.013490196,10.82,86.14,1.67,10.82,7.47,31.2,213.96,17.95,56.31,6.03,1.350897238,379.93,56.3,2.617391304,379.93,56.3,6.02,380.03,56.31,2.62173913,380.03,56.31,6.03,2,4,IP,"LineString (56419 32204, 56416 32201)"
2120-1004,2120,1004,56392,32169,56416,32201,1,48,394,0,1720,33.56,4.32,33.87,41.88,577.15,577.19,43,8,90.82,24.27,10.24,2.62,12.1,257.63,52.67,33.83,78.48,6.5,0.011262237,90.82,24.28,10.24,2.62,12.1,257.65,52.68,33.83,78.48,6.5,1.126145637,484.18,78.48,2.826086957,484.18,78.48,6.5,484.22,78.48,2.826086957,484.22,78.48,6.5,4,8,IP,"LineString (56392 32169, 56416 32201)"
