Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed,Distance,Average_Q,Capacity,V_C,Delay,Total_Time,Net_Speed,CalValFlag,AllObs,AllMod,AllDiff,AllGEH,AllFlowTest,CarObs,CarMod,CarDiff,CarGEH,CarFlowTest,LGVObs,LGVMod,LGVDiff,LGVGEH,LGVFlowTest,HGVObs,HGVMod,HGVDiff,HGVGEH,HGVFlowTest
1330-2823,1330,2823,563800,312250,563790,312270,1,64,25,0,1730,47.66,0,1.41,64,,,,,,,,,,,,,,,,,,,,,
2114-2824,2114,2824,544130,321780,545220,310650,1,64,11330,0,977,13.31,2.57,639.88,63.74,,,,,,,,,,,,,,,,,,,,,
2894-2824,2894,2824,546060,309970,545220,310650,1,64,1163,0,977,20.6,2.5,67.92,61.64,,,,,,,,,,,,,,,,,,,,,
2825-2824,2825,2824,545000,310650,545220,310650,1,48,100,0,8979.31,0.86,3.22,10.72,33.58,,,,,,,,,,,,,,,,,,,,,
2824-2825,2824,2825,545220,310650,545000,310650,1,48,100,0,1250,6.22,0,7.5,48,,,,,,,,,,,,,,,,,,,,,
1308-2826,1308,2826,549280,312100,546190,309930,2,56,4130,0.02,1674.91,8.24,4.43,269.93,55.08,,,,,,,,,,,,,,,,,,,,,
2827-2826,2827,2826,546460,309380,546190,309930,2,64,710,0.04,977,51.47,11.43,51.37,49.76,,,,,,,,,,,,,,,,,,,,,
2708-2826,2708,2826,544770,307420,546190,309930,2,64,3038,0.04,1720,26.73,6.5,177.39,61.65,,,,,,,,,,,,,,,,,,,,,
2894-2826,2894,2826,546060,309970,546190,309930,2,64,155,0.04,1310.09,15.01,4.91,13.63,40.93,,,,,,,,,,,,,,,,,,,,,
2826-2827,2826,2827,546190,309930,546460,309380,2,64,710,0,19998,3.08,0.19,40.13,63.7,,,,,,,,,,,,,,,,,,,,,
2837-2827,2837,2827,546720,309580,546460,309380,1,48,323,0,9357.02,6.37,3.22,27.44,42.37,,,,,,,,,,,,,,,,,,,,,
2836-2827,2836,2827,546830,308520,546460,309380,2,64,950,0,17675.47,0.94,2.85,56.29,60.76,,,,,,,,,,,,,,,,,,,,,
2837-2833,2837,2833,546720,309580,547000,309760,1,48,342,0,1250,58.7,0,25.65,48,,,,,,,,,,,,,,,,,,,,,
2837-2836,2837,2836,546720,309580,546830,308520,1,48,1105,0,9423.4,1.57,3.21,86.08,46.21,,,,,,,,,,,,,,,,,,,,,
2106-2836,2106,2836,547200,307820,546830,308520,2,64,780,0,19422.4,0.85,0.18,44.06,63.73,,,,,,,,,,,,,,,,,,,,,
2827-2836,2827,2836,546460,309380,546830,308520,2,64,950,0,19998,0.71,0.18,53.62,63.78,,,,,,,,,,,,,,,,,,,,,
2836-2837,2836,2837,546830,308520,546720,309580,1,48,1105,0,307.14,0.01,11.73,94.61,42.05,,,,,,,,,,,,,,,,,,,,,
2827-2837,2827,2837,546460,309380,546720,309580,1,48,323,0,1730,42.41,1.81,26.03,44.67,,,,,,,,,,,,,,,,,,,,,
2833-2837,2833,2837,547000,309760,546720,309580,1,48,342,0,1673.86,44.44,1.93,27.58,44.63,,,,,,,,,,,,,,,,,,,,,
2817-2846,2817,2846,551100,304550,551080,304530,1,48,29,0,1674.93,6.32,1.22,3.39,30.79,,,,,,,,,,,,,,,,,,,,,
2818-2846,2818,2846,551270,303660,551080,304530,1,48,921,0,1730,6.94,1.12,70.19,47.24,,,,,,,,,,,,,,,,,,,,,
2892-2846,2892,2846,546580,304740,551080,304530,1,64,5600,0,683.6,0,5.86,320.86,62.83,,,,,,,,,,,,,,,,,,,,,
2764-2850,2764,2850,561760,311190,561650,311270,1,48,130,0,1730,2.03,0,9.75,48,,,,,,,,,,,,,,,,,,,,,
2700-2850,2700,2850,561040,314000,561650,311270,1,48,3570,0,977,2.03,0.05,267.8,47.99,Calibration,40.94910715,18.21347826,-22.73562889,-4.180212864,Pass Low,34.08261396,14.59,-19.49261396,-3.951324928,Pass Low,5.599531187,2.38,-3.219531187,-1.611828928,Pass Low,1.266962012,1.243478261,-0.023483751,-0.020960784,Pass Low
1334-2851,1334,2851,561980,310470,562330,310530,1,48,370,0,1730,3.57,0,27.75,48,,,,,,,,,,,,,,,,,,,,,
2668-2851,2668,2851,563590,310360,562330,310530,1,80,1280,0,1730,3.76,0,57.6,80,,,,,,,,,,,,,,,,,,,,,
2723-2852,2723,2852,563430,316090,563610,316130,1,48,200,0,977,0.88,0,15,48,,,,,,,,,,,,,,,,,,,,,
2604-2852,2604,2852,564490,316150,563610,316130,1,48,831,0,977,0.65,0,62.33,48,,,,,,,,,,,,,,,,,,,,,
2604-2853,2604,2853,564490,316150,564540,316470,1,48,270,0,977,5.75,2.1,22.35,43.5,Calibration,57.48148148,55.63913043,-1.842351047,-0.244972035,Pass Low,48.96431619,47.26,-1.704316192,-0.245709954,Pass Low,8.054202326,7.94,-0.114202326,-0.040383937,Pass Low,0.462962963,0.439130435,-0.023832528,-0.035486189,Pass Low
1323-2853,1323,2853,564610,316570,564540,316470,1,48,180,0,977,13.11,2.26,15.76,41.11,,,,,,,,,,,,,,,,,,,,,
2994-2853,2994,2853,564640,316430,564540,316470,1,30,100,0,593.03,6.69,6.39,18.39,19.58,,,,,,,,,,,,,,,,,,,,,
2743-2854,2743,2854,574990,312710,575690,313010,1,80,740,0,1730,15.85,0,33.3,80,,,,,,,,,,,,,,,,,,,,,
1305-2854,1305,2854,575790,313090,575690,313010,1,80,110,0,1730,14.03,0,4.95,80,,,,,,,,,,,,,,,,,,,,,
2690-2855,2690,2855,566500,305050,566890,305260,1,80,250,0,1730,10.49,0,11.25,80,,,,,,,,,,,,,,,,,,,,,
2861-2855,2861,2855,567840,305880,566890,305260,1,80,1500,0,1730,9.79,1.03,68.53,78.8,,,,,,,,,,,,,,,,,,,,,
2657-2856,2657,2856,566490,314770,566260,314730,1,48,196,0,1730,0.71,1.05,15.75,44.8,,,,,,,,,,,,,,,,,,,,,
2858-2856,2858,2856,566080,314720,566260,314730,1,48,190,0,1550.82,1.13,1.17,15.42,44.35,,,,,,,,,,,,,,,,,,,,,
2857-2856,2857,2856,566320,315280,566260,314730,1,32,540,0,615.41,0.02,5.93,66.68,29.15,,,,,,,,,,,,,,,,,,,,,
1327-2857,1327,2857,566540,314910,566320,315280,1,48,417,0,1730,0.38,1.04,32.32,46.45,,,,,,,,,,,,,,,,,,,,,
2856-2857,2856,2857,566260,314730,566320,315280,1,32,540,0,660,1.81,5.56,66.31,29.32,,,,,,,,,,,,,,,,,,,,,
2655-2857,2655,2857,566240,315950,566320,315280,1,48,683,0,977,1.14,1.91,53.13,46.28,,,,,,,,,,,,,,,,,,,,,
1329-2858,1329,2858,563550,313990,566080,314720,1,48,2914,0,977,1.79,0.03,218.58,47.99,,,,,,,,,,,,,,,,,,,,,
2856-2858,2856,2858,566260,314730,566080,314720,1,48,190,0,1730,0.72,0,14.25,48,,,,,,,,,,,,,,,,,,,,,
2661-2859,2661,2859,574660,310490,575020,312140,1,80,1750,0,1720,15.94,0.49,79.24,79.5,,,,,,,,,,,,,,,,,,,,,
2743-2859,2743,2859,574990,312710,575020,312140,1,48,550,0,1730,14.03,0,41.25,48,,,,,,,,,,,,,,,,,,,,,
2676-2860,2676,2860,552080,303590,552790,304340,1,48,1200,0,977,4.61,0.1,90.1,47.95,,,,,,,,,,,,,,,,,,,,,
2895-2860,2895,2860,554040,304730,552790,304340,1,80,1674,0,1730,3.53,0.22,75.55,79.76,,,,,,,,,,,,,,,,,,,,,
2862-2861,2862,2861,568270,306350,567840,305880,1,64,700,0,1720,9.84,0.01,39.38,63.99,,,,,,,,,,,,,,,,,,,,,
2855-2861,2855,2861,566890,305260,567840,305880,1,80,1500,0,1730,10.49,1.15,68.65,78.66,,,,,,,,,,,,,,,,,,,,,
2861-2862,2861,2862,567840,305880,568270,306350,1,64,700,0,1720,10.55,0.01,39.39,63.98,,,,,,,,,,,,,,,,,,,,,
2863-2862,2863,2862,569130,306510,568270,306350,1,48,900,0,1720,9.84,0.48,67.98,47.66,,,,,,,,,,,,,,,,,,,,,
2862-2863,2862,2863,568270,306350,569130,306510,1,48,900,0,1720,10.55,0.55,68.05,47.61,,,,,,,,,,,,,,,,,,,,,
2864-2863,2864,2863,569680,306620,569130,306510,1,64,600,0,1720,9.84,0.01,33.76,63.99,,,,,,,,,,,,,,,,,,,,,
2863-2864,2863,2864,569130,306510,569680,306620,1,64,600,0,1720,10.55,0.01,33.76,63.98,,,,,,,,,,,,,,,,,,,,,
2691-2864,2691,2864,574290,308230,569680,306620,1,96,5750,0,1730,9.79,1.15,216.77,95.49,,,,,,,,,,,,,,,,,,,,,
2728-2877,2728,2877,563250,315490,563160,315800,1,64,380,0.21,1585.83,53.44,5.52,26.89,50.87,,,,,,,,,,,,,,,,,,,,,
1328-2877,1328,2877,563120,315980,563160,315800,1,64,120,0.21,1585.83,53.23,3.94,10.69,40.41,Calibration,736.8333333,727.4282609,-9.405072464,-0.347590428,Pass Mid,549.6666667,538.51,-11.15666667,-0.478299306,Pass Low,102.5,103.74,1.24,0.122109719,Pass Low,84.66666667,85.17826087,0.511594203,0.055515508,Pass Low
1328-2878,1328,2878,563120,315980,563110,316030,1,64,51,0,1730,50.09,0,2.87,64,Calibration,738.3333333,737.7895652,-0.543768116,-0.020015548,Pass Mid,542.5,540.84,-1.66,-0.071324822,Pass Low,106.8333333,105.58,-1.253333333,-0.121615996,Pass Low,89,91.36956522,2.369565217,0.249518089,Pass Low
2709-2878,2709,2878,563090,316240,563110,316030,1,64,204,0,1730,50.25,0,11.47,64,,,,,,,,,,,,,,,,,,,,,
