result_zone,x_coord,y_coord,long,lat
9004,451331,452108,-1.21912,53.9625
9001,268502,753561,-4.14661,56.6553
5018,521220,276552,-0.220789,52.3736
5068,545868,257826,0.132926,52.1994
5016,573248,276805,0.542902,52.3619
5100,535540,374450,0.030002,53.2498
5069,518388,302630,-0.253106,52.6086
5052,477428,268312,-0.865783,52.3075
5049,466549,360014,-1.00677,53.1331
5050,455413,340674,-1.17652,52.9606
5047,425855,360558,-1.61494,53.1415
5048,435850,335145,-1.46834,52.9125
5054,460028,308131,-1.11379,52.6676
5051,459074,304819,-1.12849,52.6379
5017,506222,242766,-0.451602,52.0731
5120,597328,336049,0.931426,52.8857
5015,577674,212658,0.57446,51.7844
5001,522937,216063,-0.217387,51.8297
5019,581681,297063,0.677624,52.5411
5003,622251,308846,1.2828,52.6318
9006,381687,286831,-2.27107,52.4791
9008,503128,154326,-0.522818,51.2788
9007,319466,123180,-3.14912,51.0023
9009,531331,179646,-0.10932,51.5005
9003,351884,461276,-2.73631,54.0452
9002,406479,569476,-1.9002,55.0198
9005,279740,271716,-3.76623,52.3303
573,562437,320075,0.405459,52.7539
517,562050,319953,0.39967,52.7529
5026,566187,316097,0.458957,52.717
5135,560312,314944,0.371499,52.7084
5137,564769,301121,0.430511,52.5829
5134,551179,310721,0.23449,52.6731
5136,561697,311266,0.390175,52.675
5118,609631,257744,1.06463,52.1781
5129,581189,308735,0.676761,52.6461
5127,586690,317550,0.762966,52.7234
5128,607037,321120,1.06606,52.748
5124,638479,322391,1.53193,52.7465
5122,629794,329385,1.40841,52.813
5121,617494,336187,1.23075,52.8792
5020,647802,311066,1.66124,52.6407
5131,637083,304676,1.49856,52.5881
5125,620481,319969,1.26413,52.7324
5132,602052,294911,0.976287,52.5146
5133,585176,283867,0.721771,52.4214
5130,620757,291687,1.24935,52.4784
5126,596631,309308,0.905047,52.6459
5139,542425,254769,0.081301,52.1728
5117,562561,265052,0.380433,52.2596
609,564115,318071,0.429297,52.7354
5141,563113,313613,0.41226,52.6956
5143,563402,314679,0.417062,52.7051
5142,563058,315140,0.412203,52.7094
610,563386,316289,0.417625,52.7196
5115,571735,309729,0.53769,52.6581
5116,643837,286197,1.58452,52.4194
5101,532895,343702,-0.022333,52.9742
5102,497303,323164,-0.558298,52.7973
5055,502520,374102,-0.464785,53.254
5035,573080,325711,0.565971,52.8012
5104,568604,333976,0.503913,52.8768
5106,569109,321977,0.505201,52.7689
5105,574479,320107,0.583717,52.7504
5107,565704,312035,0.449769,52.6807
5025,565262,308888,0.441661,52.6525
5108,570942,314765,0.528589,52.7036
5109,581400,316907,0.684374,52.7194
5023,555128,314037,0.294406,52.7018
5111,558705,313687,0.347128,52.6976
5112,563454,317435,0.4192,52.7299
547,564232,319919,0.431953,52.7519
602,563363,319135,0.418699,52.7452
5005,550817,306372,0.227153,52.6341
5070,564429,316574,0.433194,52.7218
