0,501,502,504,505,506,509,511,512,513,514,515,516,517,519,520,521,523,524,525,526,527,528,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,551,562,566,567,570,571,572,573,601,602,603,604,605,606,607,608,609,610,5001,5002,5003,5004,5005,5006,5007,5008,5009,5010,5011,5012,5013,5014,5015,5016,5017,5018,5019,5020,5021,5022,5023,5024,5025,5026,5027,5028,5029,5030,5031,5032,5033,5034,5035,5036,5037,5038,5039,5040,5041,5042,5043,5045,5046,5047,5048,5049,5050,5051,5052,5053,5054,5055,5056,5065,5067,5068,5069,5070,5100,5101,5102,5103,5104,5105,5106,5107,5108,5109,5110,5111,5112,5115,5116,5117,5118,5119,5120,5121,5122,5124,5125,5126,5127,5128,5129,5130,5131,5132,5133,5134,5135,5136,5137,5138,5139,5140,5141,5142,5143,6030,6140,6141,6148,6200,6201,6202,6203,6204,6205,6206,6207,6208,6210,6211,6500,6501,6502,6503,6504,6505,6506,9001,9002,9003,9004,9005,9006,9007,9008,9009
501,0.0,0.1,0.44,0.39,0.11,0.05,0.02,0.2,0.17,0.38,0.11,0.38,0.06,0.05,0.11,0.19,0.05,0.0,0.05,0.26,0.04,0.11,0.16,0.08,0.05,0.07,0.02,0.17,0.15,0.03,0.28,0.1,0.34,0.1,0.06,0.1,0.12,0.24,0.27,0.41,0.09,0.09,0.11,0.22,0.15,0.08,0.06,0.19,0.02,0.07,0.04,0.07,0.05,0.02,0.05,0.01,0.01,0.05,0.01,0.01,0.09,0.0,0.02,0.07,0.01,0.0,0.01,0.57,0.18,0.69,0.36,0.23,0.01,0.03,0.39,0.11,0.05,0.02,0.56,0.01,0.37,0.0,0.1,0.3,0.06,0.0,0.04,0.0,0.22,0.06,0.07,0.04,0.17,0.04,0.19,0.04,0.04,0.13,0.12,0.1,0.09,0.0,0.0,0.12,0.04,0.13,0.05,0.05,0.11,0.0,0.11,0.05,0.0,0.13,0.04,0.1,0.12,0.02,0.02,0.01,0.03,0.14,0.2,0.12,0.09,0.09,0.12,0.05,0.05,0.24,0.04,0.29,0.02,0.01,0.0,0.36,0.23,0.04,0.02,0.02,0.04,0.1,0.18,0.0,0.23,0.04,0.04,0.07,0.04,0.19,0.08,0.3,0.34,0.03,0.1,0.02,0.04,0.24,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,0.02,0.01,0.0,0.01,0.01,0.06,0.02
502,0.07,0.0,0.86,0.18,0.12,0.12,0.08,0.29,0.07,0.15,0.29,0.08,0.12,0.05,0.14,0.21,0.06,0.0,0.05,0.25,0.07,0.1,0.27,0.1,0.07,0.1,0.08,0.23,0.22,0.05,0.38,0.1,0.45,0.13,0.08,0.16,0.16,0.44,0.29,0.54,0.08,0.09,0.05,0.08,0.33,0.12,0.06,0.28,0.02,0.07,0.06,0.12,0.06,0.02,0.08,0.05,0.02,0.04,0.02,0.08,0.16,0.0,0.05,0.14,0.02,0.0,0.01,1.08,0.35,0.61,0.68,0.42,0.02,0.06,0.71,0.2,0.1,0.03,0.49,0.02,0.33,0.0,0.19,0.21,0.09,0.02,0.07,0.01,0.4,0.11,0.13,0.04,0.32,0.08,0.25,0.08,0.06,0.18,0.17,0.12,0.12,0.0,0.0,0.23,0.07,0.24,0.09,0.1,0.21,0.0,0.2,0.09,0.01,0.12,0.04,0.17,0.22,0.01,0.04,0.02,0.05,0.26,0.37,0.22,0.12,0.08,0.21,0.1,0.1,0.21,0.04,0.52,0.03,0.01,0.01,0.4,0.45,0.06,0.03,0.03,0.07,0.2,0.34,0.0,0.44,0.06,0.07,0.13,0.06,0.34,0.07,0.27,0.64,0.06,0.18,0.04,0.04,0.21,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,0.03,0.02,0.01,0.01,0.01,0.12,0.03
504,0.64,0.9,0.0,0.61,0.77,0.41,0.25,1.79,1.59,3.65,1.54,1.36,0.34,1.25,3.07,1.65,0.36,0.03,0.42,2.09,0.35,1.16,1.46,2.62,0.47,0.61,0.6,2.1,1.42,0.26,3.06,1.14,3.38,1.2,0.7,0.51,1.09,0.79,3.62,4.08,0.91,0.94,0.37,0.52,0.68,0.58,0.68,0.11,0.09,0.41,0.13,0.17,0.15,0.23,0.4,0.31,0.08,0.52,0.02,0.0,0.13,0.0,0.05,0.14,0.0,0.0,0.01,1.02,0.33,7.36,0.71,0.43,0.02,0.05,0.72,0.2,0.11,0.04,5.76,0.0,4.03,0.0,0.19,3.09,1.37,0.0,0.07,0.0,0.37,0.11,0.11,0.35,0.32,0.32,2.24,0.08,0.5,1.41,1.25,1.06,1.07,0.0,0.0,0.24,0.08,0.25,0.1,0.1,0.22,0.0,0.21,0.09,0.0,1.17,0.46,0.17,0.22,0.16,0.04,0.02,0.05,0.26,0.38,0.21,1.1,0.95,0.18,0.1,0.09,2.47,0.26,0.51,0.04,0.01,0.01,2.96,0.28,0.05,0.04,0.04,0.07,0.13,0.35,0.0,0.41,0.05,0.07,0.11,0.05,0.32,0.82,3.34,0.66,0.06,0.18,0.04,0.41,2.38,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,0.03,0.03,0.01,0.01,0.01,0.12,0.04
505,0.39,0.45,0.71,0.0,0.5,0.26,0.18,0.36,0.32,0.75,0.47,0.57,0.29,0.3,0.6,0.93,0.19,0.02,0.23,1.06,0.27,0.57,0.83,1.63,0.28,0.34,0.35,1.25,0.85,0.18,2.07,0.61,1.68,0.86,0.5,0.3,0.62,0.47,1.93,2.27,0.46,0.48,0.2,0.27,0.43,0.33,0.38,0.13,0.05,0.21,0.07,0.1,0.08,0.11,0.28,0.19,0.04,0.25,0.03,0.15,0.22,0.01,0.11,0.34,0.05,0.01,0.03,2.54,0.83,3.67,1.66,1.02,0.05,0.15,1.55,0.44,0.27,0.09,2.83,0.05,2.03,0.0,0.47,1.12,0.55,0.02,0.17,0.01,0.81,0.28,0.29,0.17,0.74,0.29,1.58,0.2,0.36,1.01,0.9,0.76,0.48,0.0,0.0,0.56,0.18,0.57,0.22,0.23,0.49,0.0,0.47,0.21,0.01,0.58,0.23,0.34,0.46,0.08,0.1,0.05,0.12,0.62,0.89,0.5,0.77,0.47,0.38,0.24,0.2,1.24,0.13,1.11,0.09,0.03,0.02,2.52,0.89,0.1,0.09,0.09,0.17,0.5,0.87,0.0,1.0,0.1,0.18,0.27,0.1,0.69,0.41,1.67,1.59,0.15,0.38,0.08,0.2,1.18,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.03,0.08,0.06,0.02,0.04,0.03,0.26,0.09
506,0.12,0.17,0.25,0.42,0.0,0.04,0.06,0.33,0.12,0.26,0.25,0.25,0.05,0.12,0.26,0.16,0.05,0.0,0.04,0.2,0.04,0.07,0.27,0.19,0.14,0.09,0.05,0.17,0.18,0.05,0.27,0.08,0.24,0.1,0.06,0.13,0.13,0.56,0.25,0.45,0.06,0.07,0.04,0.07,0.05,0.1,0.05,0.04,0.02,0.06,0.06,0.11,0.06,0.02,0.06,0.04,0.02,0.03,0.01,0.06,0.13,0.0,0.03,0.09,0.02,0.0,0.01,0.74,0.24,0.44,0.46,0.29,0.02,0.04,0.51,0.14,0.07,0.02,0.36,0.02,0.23,0.0,0.13,0.2,0.09,0.01,0.05,0.0,0.29,0.07,0.09,0.03,0.22,0.08,0.19,0.06,0.04,0.16,0.15,0.09,0.06,0.0,0.0,0.16,0.05,0.16,0.06,0.07,0.14,0.0,0.13,0.06,0.01,0.09,0.03,0.13,0.16,0.01,0.03,0.01,0.04,0.18,0.25,0.15,0.09,0.06,0.16,0.07,0.07,0.15,0.03,0.37,0.02,0.01,0.01,0.32,0.32,0.05,0.02,0.02,0.04,0.13,0.22,0.0,0.3,0.05,0.05,0.09,0.05,0.25,0.05,0.19,0.43,0.04,0.13,0.03,0.03,0.15,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,0.02,0.02,0.0,0.01,0.01,0.08,0.02
509,0.05,0.09,0.18,0.21,0.07,0.0,0.04,0.06,0.05,0.12,0.21,0.09,0.04,0.11,0.31,0.17,0.03,0.0,0.03,0.21,0.04,0.07,0.2,0.21,0.14,0.07,0.05,0.63,0.15,0.04,0.35,0.11,0.35,0.14,0.09,0.07,0.13,0.23,0.36,0.45,0.06,0.07,0.03,0.04,0.07,0.07,0.08,0.03,0.01,0.05,0.02,0.04,0.02,0.01,0.04,0.03,0.01,0.03,0.0,0.0,0.04,0.0,0.01,0.03,0.0,0.0,0.0,0.21,0.07,0.43,0.13,0.08,0.0,0.01,0.15,0.04,0.02,0.01,0.33,0.0,0.24,0.0,0.04,0.14,0.13,0.0,0.01,0.0,0.09,0.02,0.03,0.02,0.06,0.06,0.26,0.02,0.06,0.18,0.16,0.1,0.08,0.0,0.0,0.04,0.01,0.05,0.02,0.02,0.04,0.0,0.04,0.02,0.0,0.07,0.03,0.04,0.05,0.01,0.01,0.0,0.01,0.05,0.07,0.04,0.12,0.06,0.05,0.02,0.02,0.15,0.02,0.11,0.01,0.0,0.0,0.31,0.09,0.01,0.01,0.01,0.01,0.03,0.06,0.0,0.09,0.01,0.01,0.03,0.01,0.07,0.05,0.19,0.12,0.01,0.04,0.01,0.02,0.14,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01
511,0.03,0.07,0.11,0.14,0.05,0.04,0.0,0.08,0.09,0.18,0.06,0.26,0.01,0.03,0.06,0.11,0.09,0.0,0.03,0.15,0.03,0.07,0.13,0.05,0.03,0.02,0.02,0.11,0.09,0.02,0.16,0.06,0.19,0.06,0.04,0.05,0.07,0.11,0.18,0.24,0.05,0.17,0.08,0.1,0.03,0.04,0.04,0.06,0.01,0.04,0.02,0.03,0.02,0.01,0.03,0.01,0.01,0.03,0.01,0.05,0.07,0.0,0.02,0.07,0.01,0.0,0.01,0.57,0.18,0.42,0.36,0.22,0.01,0.03,0.36,0.1,0.06,0.02,0.35,0.01,0.22,0.0,0.1,0.18,0.05,0.01,0.04,0.0,0.2,0.06,0.07,0.02,0.17,0.02,0.11,0.04,0.02,0.07,0.07,0.08,0.05,0.0,0.0,0.12,0.04,0.12,0.05,0.05,0.11,0.0,0.1,0.05,0.01,0.08,0.03,0.09,0.11,0.01,0.02,0.01,0.03,0.14,0.19,0.11,0.05,0.06,0.1,0.05,0.05,0.15,0.02,0.27,0.02,0.01,0.0,0.24,0.23,0.03,0.02,0.02,0.04,0.11,0.18,0.0,0.23,0.03,0.04,0.07,0.03,0.17,0.06,0.19,0.34,0.03,0.09,0.02,0.03,0.15,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.01,0.02,0.01,0.0,0.01,0.01,0.06,0.02
512,0.18,0.22,1.26,0.24,0.27,0.06,0.07,0.0,0.25,0.76,0.34,0.46,0.16,0.1,0.95,1.27,0.39,0.01,0.11,0.65,0.12,0.28,0.16,0.18,0.11,0.06,0.04,0.39,0.34,0.07,0.54,0.21,0.64,0.24,0.15,0.27,0.3,0.74,0.61,1.01,0.58,0.66,0.34,0.42,0.42,0.21,0.13,0.55,0.04,0.17,0.11,0.2,0.14,0.06,0.12,0.03,0.04,0.12,0.02,0.09,0.25,0.0,0.04,0.13,0.03,0.0,0.01,1.16,0.62,1.64,1.1,0.65,0.03,0.05,0.79,0.23,0.07,0.01,1.36,0.03,0.86,0.0,0.17,0.72,0.14,0.03,0.06,0.01,0.43,0.14,0.16,0.11,0.55,0.14,0.46,0.07,0.1,0.33,0.31,0.26,0.22,0.0,0.0,0.2,0.07,0.21,0.09,0.09,0.19,0.0,0.18,0.08,0.0,0.21,0.11,0.22,0.26,0.03,0.04,0.02,0.05,0.34,0.55,0.29,0.18,0.22,0.34,0.12,0.11,0.57,0.09,0.64,0.01,0.01,0.01,0.83,0.69,0.1,0.01,0.05,0.1,0.17,0.37,0.04,0.42,0.06,0.06,0.12,0.09,0.46,0.25,0.72,0.58,0.06,0.21,0.07,0.11,0.58,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.14,0.01
513,0.17,0.07,1.33,0.23,0.13,0.05,0.08,0.16,0.0,0.49,0.32,0.43,0.18,0.06,0.58,0.7,0.28,0.01,0.06,0.4,0.08,0.14,0.11,0.09,0.07,0.04,0.02,0.21,0.24,0.06,0.31,0.11,0.35,0.12,0.08,0.23,0.19,0.71,0.31,0.65,0.27,0.27,0.24,0.31,0.46,0.16,0.06,0.12,0.03,0.12,0.1,0.18,0.13,0.03,0.09,0.02,0.03,0.04,0.01,0.02,0.05,0.0,0.01,0.02,0.01,0.0,0.0,0.3,0.21,0.83,0.33,0.19,0.01,0.01,0.2,0.06,0.01,0.0,0.72,0.01,0.44,0.0,0.05,0.39,0.07,0.01,0.01,0.0,0.07,0.03,0.04,0.07,0.18,0.11,0.24,0.01,0.05,0.2,0.19,0.11,0.11,0.0,0.0,0.05,0.02,0.05,0.02,0.02,0.05,0.0,0.04,0.02,0.0,0.13,0.06,0.06,0.07,0.01,0.01,0.0,0.01,0.08,0.16,0.09,0.11,0.11,0.18,0.03,0.02,0.39,0.06,0.22,0.0,0.0,0.0,0.43,0.23,0.01,0.0,0.01,0.03,0.06,0.11,0.01,0.07,0.0,0.01,0.01,0.03,0.12,0.13,0.37,0.16,0.01,0.05,0.02,0.06,0.3,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
514,0.34,0.14,3.04,0.55,0.28,0.11,0.16,0.66,0.35,0.0,0.57,1.01,0.36,0.12,0.32,1.52,0.6,0.02,0.11,0.77,0.15,0.23,0.24,0.15,0.15,0.08,0.04,0.36,0.44,0.11,0.49,0.16,0.55,0.15,0.1,0.51,0.34,1.61,0.5,1.13,0.43,0.64,0.49,0.6,0.96,0.3,0.1,0.27,0.08,0.27,0.23,0.42,0.31,0.06,0.19,0.03,0.07,0.07,0.01,0.05,0.3,0.0,0.03,0.07,0.02,0.0,0.01,0.64,0.18,1.23,0.32,0.22,0.02,0.02,0.6,0.17,0.03,0.01,1.11,0.02,0.63,0.0,0.09,0.61,0.13,0.02,0.03,0.0,0.42,0.05,0.1,0.13,0.21,0.17,0.3,0.04,0.06,0.29,0.3,0.22,0.14,0.0,0.0,0.12,0.04,0.12,0.05,0.05,0.11,0.0,0.1,0.05,0.0,0.21,0.09,0.19,0.21,0.02,0.02,0.01,0.03,0.14,0.17,0.16,0.13,0.17,0.28,0.05,0.09,0.43,0.13,0.46,0.01,0.0,0.01,0.6,0.44,0.1,0.01,0.01,0.02,0.06,0.1,0.0,0.29,0.1,0.02,0.11,0.1,0.34,0.19,0.53,0.27,0.03,0.16,0.06,0.1,0.47,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.09,0.01
