Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed,Distance,Average_Q,Capacity,V_C,Delay,Total_Time,Net_Speed,CalValFlag,AllObs,AllMod,AllDiff,AllGEH,AllFlowTest,CarObs,CarMod,CarDiff,CarGEH,CarFlowTest,LGVObs,LGVMod,LGVDiff,LGVGEH,LGVFlowTest,HGVObs,HGVMod,HGVDiff,HGVGEH,HGVFlowTest
5016-1001,5016,1001,562280,321750,562680,322060,1,64,545,0,1720,18.8,0.08,30.74,63.83,,,,,,,,,,,,,,,,,,,,,
7036-1001,7036,1001,563200,322190,562680,322060,1,64,542,0,1720,49.11,3.19,33.68,57.94,,,,,,,,,,,,,,,,,,,,,
7036-1002,7036,1002,563200,322190,563320,322210,2,64,121,0.68,2904.83,11.13,8.05,14.86,29.32,Calibration,307,291.5843478,-15.41565217,-0.891074924,Pass Low,214,206.98,-7.02,-0.483861846,Pass Low,65,63.3,-1.7,-0.212251413,Pass Low,28,21.30434783,-6.695652174,-1.348544473,Pass Low
7037-1002,7037,1002,563460,322240,563320,322210,2,64,150,3.79,1862.95,54.55,15.5,23.94,22.56,Calibration,1004,985.9873913,-18.0126087,-0.571039894,Pass Mid,905,891.05,-13.95,-0.46551105,Pass Mid,75,74.72,-0.28,-0.032361834,Pass Low,24,20.2173913,-3.782608696,-0.804470005,Pass Low
4007-1002,4007,1002,563310,322090,563320,322210,1,30,132,2.32,423.07,63.01,42.7,58.54,8.12,Calibration,277,260.5943478,-16.40565217,-1.000647582,Pass Low,209,206.26,-2.74,-0.19015402,Pass Low,52,49.73,-2.27,-0.318285118,Pass Low,16,4.604347826,-11.39565217,-3.550379248,Pass Low
7045-1003,7045,1003,564050,322330,564150,322360,1,64,102,0.03,2634.77,15.67,1.53,7.27,50.5,,,,,,,,,,,,,,,,,,,,,
2789-1003,2789,1003,564290,322410,564150,322360,1,64,140,0,1870.43,48.36,1.86,9.74,51.76,,,,,,,,,,,,,,,,,,,,,
7506-1003,7506,1003,564180,322090,564150,322360,1,48,290,0.18,1317.93,18.71,3.58,25.33,41.22,,,,,,,,,,,,,,,,,,,,,
2014-1004,2014,1004,564190,322040,564160,322010,2,48,40,0.02,2971.78,22.28,1.83,4.83,29.8,,,,,,,,,,,,,,,,,,,,,
2120-1004,2120,1004,563920,321690,564160,322010,1,48,394,0,1720,27.11,3.19,32.74,43.33,,,,,,,,,,,,,,,,,,,,,
7506-1004,7506,1004,564180,322090,564160,322010,1,48,97,0.62,527.65,39.98,12.95,20.23,17.27,,,,,,,,,,,,,,,,,,,,,
2014-1005,2014,1005,564190,322040,564550,322400,1,48,507,3.63,866.99,44.48,39.13,77.15,23.66,Calibration,424,378.4643478,-45.53565217,-2.273283949,Pass Low,369,315.03,-53.97,-2.918299369,Pass Low,54,62.53,8.53,1.117493886,Pass Low,1,0.904347826,-0.095652174,-0.098024967,Pass Low
2789-1005,2789,1005,564290,322410,564550,322400,1,64,260,4.2,682.62,76,39.95,54.57,17.15,Calibration,444,490.8247826,46.82478261,2.165836453,Pass Low,320,387.49,67.49,3.588345675,Pass Low,88,84.9,-3.1,-0.33341044,Pass Low,36,18.43478261,-17.56521739,-3.366900487,Pass Low
1201-1005,1201,1005,564550,322690,564550,322400,1,48,299,4.52,543.53,97.06,87.02,109.45,9.83,Calibration,430,497.4556522,67.45565217,3.132468895,Pass Low,395,422.03,27.03,1.337340638,Pass Low,32,55.33,23.33,3.530595851,Pass Low,3,20.09565217,17.09565217,5.030782665,Pass Low
