Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed,Distance,Average_Q,Capacity,V_C,Delay,Total_Time,Net_Speed,CalValFlag,AllObs,AllMod,AllDiff,AllGEH,AllFlowTest,CarObs,CarMod,CarDiff,CarGEH,CarFlowTest,LGVObs,LGVMod,LGVDiff,LGVGEH,LGVFlowTest,HGVObs,HGVMod,HGVDiff,HGVGEH,HGVFlowTest
5016-1001,5016,1001,562280,321750,562680,322060,1,64,545,0,1720,44.1,2.13,32.79,59.84,,,,,,,,,,,,,,,,,,,,,
7036-1001,7036,1001,563200,322190,562680,322060,1,64,542,0,1720,22.45,0.16,30.65,63.66,,,,,,,,,,,,,,,,,,,,,
7036-1002,7036,1002,563200,322190,563320,322210,2,64,121,2.97,2202.91,34.43,15.31,22.12,19.7,Calibration,785,751.7486957,-33.25130435,-1.199560778,Pass Mid,710,681.44,-28.56,-1.082781829,Pass Mid,72,66.7,-5.3,-0.636432922,Pass Low,3,3.608695652,0.608695652,0.334855411,Pass Low
7037-1002,7037,1002,563460,322240,563320,322210,2,64,150,2.9,1087.16,43.86,24.81,33.25,16.24,Calibration,460,455.7017391,-4.29826087,-0.200877247,Pass Low,398,395.39,-2.61,-0.131042492,Pass Low,49,48.69,-0.31,-0.044355925,Pass Low,13,11.62173913,-1.37826087,-0.392814094,Pass Low
4007-1002,4007,1002,563310,322090,563320,322210,1,30,132,1.96,860.08,42,21.95,37.79,12.57,Calibration,372,357.5713043,-14.42869565,-0.755454302,Pass Low,330,317.49,-12.51,-0.695273657,Pass Low,39,37.29,-1.71,-0.276870893,Pass Low,3,2.791304348,-0.208695652,-0.122642277,Pass Low
7045-1003,7045,1003,564050,322330,564150,322360,1,64,102,0.03,2472.79,37.71,1.8,7.54,48.69,,,,,,,,,,,,,,,,,,,,,
2789-1003,2789,1003,564290,322410,564150,322360,1,64,140,0,1874.91,22.5,1.24,9.11,55.3,,,,,,,,,,,,,,,,,,,,,
7506-1003,7506,1003,564180,322090,564150,322360,1,48,290,0.06,1559.47,8.14,2.59,24.34,42.9,,,,,,,,,,,,,,,,,,,,,
2014-1004,2014,1004,564190,322040,564160,322010,2,48,40,0.04,2855.89,18.89,2.04,5.04,28.59,,,,,,,,,,,,,,,,,,,,,
2120-1004,2120,1004,563920,321690,564160,322010,1,48,394,0,1720,41.56,6.09,35.64,39.8,,,,,,,,,,,,,,,,,,,,,
7506-1004,7506,1004,564180,322090,564160,322010,1,48,97,0.45,619.13,37.77,9.97,17.24,20.25,,,,,,,,,,,,,,,,,,,,,
2014-1005,2014,1005,564190,322040,564550,322400,1,48,507,3.32,948.01,40.05,36.05,74.08,24.64,Calibration,442,371.71,-70.29,-3.484766752,Pass Low,401,312.24,-88.76,-4.700179519,Pass Low,41,57.97,16.97,2.41237631,Pass Low,0,1.5,1.5,1.732050808,Pass Low
2789-1005,2789,1005,564290,322410,564550,322400,1,64,260,5.29,846.46,88.11,41.48,56.11,16.68,Calibration,668,739.7165217,71.71652174,2.703190248,Pass Low,586,658.83,72.83,2.91924325,Pass Low,78,77.73,-0.27,-0.03059797,Pass Low,4,3.156521739,-0.843478261,-0.445900433,Pass Low
1201-1005,1201,1005,564550,322690,564550,322400,1,48,299,2.92,322.16,90.69,75.07,97.49,11.04,Calibration,285,288.1630435,3.163043478,0.186844823,Pass Low,256,265.88,9.88,0.611626953,Pass Low,29,22.27,-6.73,-1.329224701,Pass Low,0,0.013043478,0.013043478,0.161514571,Pass Low
7005-1005,7005,1005,564600,322410,564550,322400,2,64,48,4.24,1818.32,50.04,46.94,49.64,3.48,Calibration,880,883.1186957,3.118695652,0.105038187,Pass Mid,740,745.13,5.13,0.188256564,Pass Mid,124,121.98,-2.02,-0.182144671,Pass Low,16,16.00869565,0.008695652,0.002173618,Pass Low
7032-1006,7032,1006,565290,322540,565600,322630,2,64,320,0.12,2482.85,32.83,2.63,20.63,55.85,,,,,,,,,,,,,,,,,,,,,
1214-1006,1214,1006,566740,322980,565600,322630,1,80,1193,0,1720,47.13,9.77,63.45,67.68,Calibration,777,790.5565217,13.55652174,0.484229973,Pass Mid,666,679.53,13.53,0.521634253,Pass Low,99,100.17,1.17,0.117243533,Pass Low,12,10.85652174,-1.143478261,-0.338250027,Pass Low
2013-1006,2013,1006,565640,322470,565600,322630,1,48,110,0.32,601.4,44.17,9.55,17.8,22.25,,,,,,,,,,,,,,,,,,,,,
5016-1008,5016,1008,562280,321750,562050,321300,1,64,497,1.68,1285.59,30.2,17.71,45.67,39.18,,,,,,,,,,,,,,,,,,,,,
1228-1008,1228,1008,562000,321020,562050,321300,1,64,303,5.56,809.86,97.8,74.12,91.17,11.96,Calibration,806.25,779.6395652,-26.61043478,-0.944997147,Pass Mid,715.3028693,693.76,-21.54286931,-0.811621156,Pass Mid,84.44713069,79.41,-5.037130692,-0.556500481,Pass Low,6.5,6.469565217,-0.030434783,-0.011951502,Pass Low
1213-1008,1213,1008,561620,321450,562050,321300,1,30,465,2.16,715.71,41.84,30.2,86,19.46,,,,,,,,,,,,,,,,,,,,,
2120-1009,2120,1009,563920,321690,563850,321370,1,48,333,0.02,1720,27.31,3.88,28.85,41.55,,,,,,,,,,,,,,,,,,,,,
7047-1009,7047,1009,563850,321260,563850,321370,1,48,108,0,1883.68,40.71,1.61,9.71,40.04,,,,,,,,,,,,,,,,,,,,,
2119-1009,2119,1009,563680,321470,563850,321370,1,30,195,0.07,378.57,14.19,10.68,34.08,20.6,,,,,,,,,,,,,,,,,,,,,
