 5010 1210         1  205  217  0.8  181  201  1.5   21   16  1.3    3    0  2.3
 1210 5010         1  278  107 12.3  246   81 12.9   29   19  2.1    3    7    2
 1340 1209         2  619  737  4.5  525  587  2.6   62   93  3.6   33   57  3.7
 1209 1340         2 1116  979  4.2  954  800  5.2  113  111  0.2   49   68  2.4
 6006 3002         1  355  345  0.5  307  309  0.1   36   30    1   12    6    2
 3002 6006         1  357  379  1.2  308  332  1.4   36   45  1.3   13    2    4
 1323 2505         1  762  810  1.7  656  693  1.4   77   77    0   29   40  1.8
 2505 1323         1  864  870  0.2  754  760  0.2   89   90  0.1   21   20  0.1
 1319 1320         1  177   72  9.4  158   66  8.7   19    6  3.7    1    0  1.1
 1320 1319         1  143  118  2.1  127  113  1.2   15    4  3.4    1    1  0.1
 1352 1316         1  387  489  4.9  331  430  5.1   42   48  0.9   15   12  0.7
 1316 1352         1  430  469  1.8  352  388  1.8   63   68  0.6   15   13  0.5
 1314 1313         1  871  649    8  775  564  8.1   91   81  1.1    4    3  0.4
 1313 1314         1  697  512  7.5  618  440  7.8   73   68  0.6    5    4  0.6
 1228 1008         1  806  780  0.9  715  694  0.8   84   79  0.6    6    6    0
 1008 1228         1  484  488  0.2  429  430    0   51   51    0    4    8  1.3
 2037 1059         1  510  508  0.1  453  440  0.6   53   67  1.8    3    0    2
 1059 2037         1  475  513  1.7  424  464  1.9   50   49  0.2    1    0  1.5
 1058 1055         1  877  859  0.6  775  763  0.4   95   90  0.6    6    7  0.1
 1055 1058         1  627  618  0.4  559  550  0.4   64   64    0    4    3  0.2
 4010 1015         1  567  561  0.2  506  516  0.5   60   45  2.1    1    0  1.3
 1015 4010         1  306  298  0.4  273  273    0   32   25  1.4    1    0  0.7
 7040 2023         2  441  519  3.5  393  453  2.9   46   61    2    2    4  1.5
 2023 7040         2  558  719  6.4  497  650  6.4   59   68  1.2    3    1  1.3
 1013 7047         1  752  754  0.1  671  673  0.1   79   79    0    2    2  0.1
 7047 1013         1  605  603  0.1  540  537  0.1   64   64    0    2    2  0.3
 3019 7027         1  440  185 14.4  391  161 13.8   46   19  4.9    3    6  1.3
 7027 3019         1  526  324  9.8  468  295  8.9   55   24  4.9    3    5  1.1
 2149 2071         1  988 1079  2.8  873  965    3  112  111  0.1    4    4  0.2
 2071 2149         1  957  929  0.9  877  839  1.3   78   88  1.1    2    1  0.6
 2823 2712         2  805  926  4.1  694  723  1.1   82  158    7   28   45  2.7
 2712 2823         2  995 1018  0.7  860  864  0.1  102   99  0.3   33   55  3.4
 7503 1322         1  212  391 10.3  187  356 10.2   22   32    2    2    3  0.2
 1322 7503         1  174  283  7.2  154  259  7.3   18   20  0.4    2    4  0.9
 1345 1344         1  207   60 12.7  184   58 11.5   22    2  5.6    1    0  1.3
 1344 1345         1  193  143  3.8  171  139  2.5   20    4  4.6    2    0    2
 2896 1340         1  632  770  5.2  538  616  3.2   64   98  3.8   30   57  4.1
 1340 2896         1 1070  996  2.3  909  814  3.3  107  114  0.6   53   68    2
 1339 1338         1  697  874  6.3  565  721  6.1  101  132  2.9   31   20  2.1
 1338 1339         1  966 1068  3.2  828  910  2.8  104  134  2.8   34   24  1.9
 2204 2600         1  235  254  1.2  210  225    1   25   28  0.7    1    1  0.1
 2600 2204         1  172  185    1  154  165  0.9   18   19  0.3    0    0  0.3
 7046 7045         2 1004  926  2.5  888  837  1.7  105   85    2   11    3  2.8
 7045 7046         2  479  456  1.1  423  395  1.4   50   49  0.2    5   12  2.1
 1102 1083         1  240  441 10.9  214  377  9.5   25   64  5.8    1    0  1.2
 1083 1102         1  460  730   11  411  655 10.6   48   74  3.3    1    0  1.6
 5001 1030         1  191  188  0.2  170  168  0.2   20   20  0.1    1    1  0.2
 1030 5001         1  277  274  0.2  247  245  0.2   29   29  0.1    1    0  0.2
 2726 2604         2   24   72  6.8   22   65  6.6    3    6  1.7    0    0  0.6
 2604 2726         2   46   83  4.6   41   75  4.5    5    7    1    0    0  0.1
 1211 2067         1   38   27  1.8   34   21  2.4    4    4  0.2    0    2  1.8
 2067 1211         1   53   27  4.2   48   16  5.5    6    3    1    0    7  3.7
 1040 1045         1  889  878  0.3  785  779  0.2   93   91  0.2   12    9  0.8
 2044 7041         1   33    3  7.2   30    3  6.7    3    0  2.6    0    0  0.4
 7041 2044         1   41    2  8.3   37    2  7.9    4    0  2.6    0    0  0.1
 2034 2601         1  139  138  0.1  124  126  0.1   15   13  0.6    0    0    1
 2601 2034         1   98   97  0.2   88   88    0   10    9  0.5    0    0  0.5
 2602 2603         1   52   58  0.8   46   54  1.1    5    3  1.4    0    1    1
 2603 2602         1   81  149  6.4   71  144    7    8    4  1.8    1    1  0.2
 2654 2760         1  616  621  0.2  532  534  0.1   63   66  0.5   22   21  0.1
 2760 2654         1  651  660  0.4  560  560    0   66   66    0   25   33  1.5
 2658 2657         2   33   14  4.1   30   13  3.6    4    0  2.4    0    0  0.7
 2657 2658         2   66    5 10.3   59    5  9.7    7    0  3.5    0    0  0.6
 1337 2703         2   33   29  0.7   30   27  0.4    4    2  0.9    0    0  0.7
 2703 1337         2   67   55  1.5   60   47  1.7    7    8  0.2    0    0    0
 1328 2723         1   64   63  0.1   57   55  0.2    7    7  0.1    1    1  0.2
 2723 1328         1   61   60  0.1   54   55  0.1    6    5  0.6    0    0  0.1
 2604 2853         1   70   87    2   62   78  1.8    7    9  0.5    0    1  0.7
 2853 2604         1  114  112  0.2  101  100  0.1   12   12  0.1    1    0  0.2
 2073 1075         2  138   84  5.2  128   79  4.8    8    4  1.5    2    0  1.9
 1075 2073         2   90   64    3   82   64  2.2    8    0  3.7    0    0  0.2
 1098 1075         2  323  475  7.6  275  406  7.1   48   69  2.7    0    0    0
 1075 1098         2  622  835  7.9  565  760  7.6   55   75  2.5    2    0    2
 1113 7020         2 1222 1195  0.8 1128 1089  1.2   91  101    1    3    5  0.9
 7018 1113         2  901  941  1.3  787  835  1.7  109   98  1.1    5    8  1.2
 1114 7022         2  490  494  0.2  450  455  0.2   40   38  0.2    0    0  0.6
 7021 1114         2  526  493  1.5  450  420  1.4   76   73  0.4    0    0  0.7
