Reference,A_Node,B_Node,A_Node_X,A_Node_Y,B_Node_X,B_Node_Y,Lanes,FF_Speed (kph),Distance (m),Average_Q (PCUs),Capacity (PCUs),V_C (%),Delay (s),Total_Time (s),Net_Speed_kph (kph),Actual_Flow_Total (PCUs),Demand_Flow_Total (PCUs),Capacity_Indices,Fixed_Flow (PCUs),Actual_Flow_UC1 (PCUs),Actual_Flow_UC2 (PCUs),Actual_Flow_UC3 (PCUs),Actual_Flow_UC4 (PCUs),Actual_Flow_UC5 (PCUs),Actual_Flow_UC6 (PCUs),Actual_Flow_UC7 (PCUs),Actual_Flow_UC8 (PCUs),Actual_Flow_UC9 (PCUs),Actual_Flow_UC10 (PCUs),Actual_Flow_%_HGV (%),Demand_Flow_UC1 (PCUs),Demand_Flow_UC2 (PCUs),Demand_Flow_UC3 (PCUs),Demand_Flow_UC4 (PCUs),Demand_Flow_UC5 (PCUs),Demand_Flow_UC6 (PCUs),Demand_Flow_UC7 (PCUs),Demand_Flow_UC8 (PCUs),Demand_Flow_UC9 (PCUs),Demand_Flow_UC10 (PCUs),Demand_Flow_%_HGV (%),Car_Veh_Actual_Tot,LGV_Veh_Actual_Tot,HGV_Veh_Actual_Tot,Car_PCU_Actual_Tot,LGV_PCU_Actual_Tot,HGV_PCU_Actual_Tot,Car_Veh_Demand_Tot,LGV_Veh_Demand_Tot,HGV_Veh_Demand_Tot,Car_PCU_Demand_Tot,LGV_PCU_Demand_Tot,HGV_PCU_Demand_Tot,Fixed_Tot,Fixed_PCU_Tot,Period,wkt_geom
7506-1004,7506,1004,56418,32209,56416,32201,1,48,97,0.45,619.13,37.77,9.97,17.24,20.25,233.86,234.06,0,0,81.59,2.09,9.97,2.27,2.91,69.88,35.07,11.37,16.83,1.88,0.008038998,81.66,2.09,9.98,2.27,2.91,69.94,35.1,11.38,16.84,1.89,0.80748526,215.15,16.83,0.817391304,215.15,16.83,1.88,215.33,16.84,0.82173913,215.33,16.84,1.89,0,0,PM,"LineString (56418 32209, 56416 32201)"
2014-1005,2014,1005,56419,32204,56455,32240,1,48,507,3.32,948.01,40.05,36.05,74.08,24.64,379.67,380.05,43,5.99,136.1,0.16,15.05,0.93,1.13,139.37,13.4,6.1,57.97,3.45,0.009086839,136.24,0.16,15.07,0.93,1.13,139.51,13.41,6.11,58.02,3.46,0.910406525,312.24,57.97,1.5,312.24,57.97,3.45,312.56,58.02,1.504347826,312.56,58.02,3.46,2.995,5.99,PM,"LineString (56419 32204, 56455 32240)"
2789-1005,2789,1005,56429,32241,56455,32240,1,64,260,5.29,846.46,88.11,41.48,56.11,16.68,745.81,746.68,0,2,281.48,1.05,34.9,1.4,3.23,311.8,12.48,12.49,77.73,7.26,0.009734383,281.81,1.05,34.94,1.4,3.23,312.16,12.5,12.51,77.82,7.27,0.973643328,658.83,77.73,3.156521739,658.83,77.73,7.26,659.6,77.82,3.160869565,659.6,77.82,7.27,1,2,PM,"LineString (56429 32241, 56455 32240)"
1201-1005,1201,1005,56455,32269,56455,32240,1,48,299,2.92,322.16,90.69,75.07,97.49,11.04,292.18,292.18,0,4,68.79,8.35,3.88,9.09,7.29,32.01,102.85,33.62,22.27,0.03,0.000102676,68.79,8.35,3.88,9.09,7.29,32.01,102.85,33.62,22.27,0.03,0.010267643,265.88,22.27,0.013043478,265.88,22.27,0.03,265.88,22.27,0.013043478,265.88,22.27,0.03,2,4,PM,"LineString (56455 32269, 56455 32240)"
7005-1005,7005,1005,56460,32241,56455,32240,2,64,48,4.24,1818.32,50.04,46.94,49.64,3.48,909.93,911.01,0,5.99,269.86,15.12,17.2,20.12,13.15,176.17,187.61,45.9,121.98,36.82,0.040464651,270.18,15.13,17.22,20.15,13.16,176.38,187.83,45.96,122.12,36.87,4.047156453,745.13,121.98,16.00869565,745.13,121.98,36.82,746.01,122.12,16.03043478,746.01,122.12,36.87,2.995,5.99,PM,"LineString (56460 32241, 56455 32240)"
7032-1006,7032,1006,56529,32254,56560,32263,2,64,320,0.12,2482.85,32.83,2.63,20.63,55.85,815.09,815.87,0,4,293.2,2.58,31.3,5.12,3.84,292.62,62.72,19.88,86.81,13.03,0.015985965,293.48,2.58,31.33,5.13,3.85,292.9,62.78,19.9,86.9,13.04,1.598293846,711.26,86.81,5.665217391,711.26,86.81,13.03,711.95,86.9,5.669565217,711.95,86.9,13.04,2,4,PM,"LineString (56529 32254, 56560 32263)"
1214-1006,1214,1006,56674,32298,56560,32263,1,80,1193,0,1720,47.13,9.77,63.45,67.68,810.65,811.98,26,5.99,268.07,9.73,20.67,12.91,10.39,207.19,115.45,35.12,100.17,24.97,0.030802442,268.51,9.75,20.7,12.93,10.41,207.53,115.63,35.18,100.33,25.01,3.080125126,679.53,100.17,10.85652174,679.53,100.17,24.97,680.64,100.33,10.87391304,680.64,100.33,25.01,2.995,5.99,PM,"LineString (56674 32298, 56560 32263)"
2013-1006,2013,1006,56564,32247,56560,32263,1,48,110,0.32,601.4,44.17,9.55,17.8,22.25,265.67,265.67,0,0,85.54,4.92,4.86,6.79,4.6,31.56,68.85,18.45,31.2,8.9,0.033500207,85.54,4.92,4.86,6.79,4.6,31.56,68.85,18.45,31.2,8.9,3.350020702,225.57,31.2,3.869565217,225.57,31.2,8.9,225.57,31.2,3.869565217,225.57,31.2,8.9,0,0,PM,"LineString (56564 32247, 56560 32263)"
5016-1008,5016,1008,56228,32175,56205,32130,1,64,497,1.68,1285.59,30.2,17.71,45.67,39.18,388.2,388.51,31,7.99,98.27,9.05,3.06,15.1,12.64,17.64,121.41,39.36,35.9,27.8,0.071612571,98.35,9.05,3.06,15.11,12.65,17.65,121.5,39.39,35.92,27.82,7.160690845,316.53,35.9,12.08695652,316.53,35.9,27.8,316.76,35.92,12.09565217,316.76,35.92,27.82,3.995,7.99,PM,"LineString (56228 32175, 56205 32130)"
1228-1008,1228,1008,56200,32102,56205,32130,1,64,303,5.56,809.86,97.8,74.12,91.17,11.96,792.03,793.59,31,3.99,280.95,1.59,28.04,5.25,12.26,260.98,55.5,49.19,79.41,14.88,0.018787167,281.5,1.59,28.09,5.26,12.28,261.49,55.61,49.28,79.57,14.91,1.878803916,693.76,79.41,6.469565217,693.76,79.41,14.88,695.1,79.57,6.482608696,695.1,79.57,14.91,1.995,3.99,PM,"LineString (56200 32102, 56205 32130)"
