Centroid?,Zone Number,X,Y
C,20433,311292,103435
C,20434,305603,83535
C,20435,312156,90320
C,20436,311497,88296
C,20437,314609,92084
C,20438,315821,98657
C,20439,317130,100653
C,20440,319243,95990
C,20441,319769,89508
C,20442,320924,106082
C,20443,323013,94416
C,20444,324831,98918
C,20445,324214,90925
C,20446,326531,96840
C,20447,327901,94695
C,20448,328336,91492
C,20449,331491,99828
C,20450,331968,93813
C,20451,286288,134854
C,20452,293454,141137
C,20453,287060,145827
C,20454,295240,145653
C,20455,296013,145434
C,20456,297537,145264
C,20457,300567,141216
C,20458,301776,137287
C,20459,296920,146458
C,20460,304196,142304
C,20461,306049,132769
C,20462,306769,143183
C,20463,309023,142477
C,20464,316037,142468
C,20465,306503,125638
C,20466,311963,126391
C,20467,310511,119230
C,20468,312098,120317
C,20469,314426,123693
C,20470,313590,121029
C,20471,314421,120115
C,20472,315539,131174
C,20473,315733,119089
C,20474,318643,126401
C,20475,319547,124122
C,20476,320112,126013
C,20477,320906,126043
C,20478,320805,123484
C,20479,320515,121767
C,20480,321044,124918
C,20481,321540,126312
C,20482,321690,124321
C,20483,321784,128795
C,20484,322133,125263
C,20485,322401,126511
C,20486,322500,123754
C,20487,322969,125652
C,20488,323248,124917
C,20489,323368,126523
C,20490,323568,123138
C,20491,320858,115852
C,20492,324244,124413
C,20493,324370,126421
C,20494,324893,124714
C,20495,325593,128051
C,20496,327691,125412
C,20497,326805,119559
C,20498,331390,125319
C,20499,335475,128739
C,20500,323281,138992
C,20501,328353,138595
C,20502,330268,137130
C,20503,329351,144025
C,20504,330455,135042
C,20505,331853,137735
C,20506,331893,137787
C,20507,330045,131479
C,20508,333538,141977
C,20509,331224,148409
C,20510,334076,144991
C,20511,336643,133408
C,20512,338873,138855
C,20513,331856,153100
C,20514,340798,149039
C,20515,345705,154252
C,20516,326469,114535
C,20517,329355,110440
C,20518,331383,116624
C,20519,333270,114028
C,20520,332410,109640
C,20521,332088,108914
C,20522,332125,108100
C,20523,333015,108985
C,20524,335266,115255
C,20525,333835,109441
C,20526,335414,113656
C,20527,332982,108247
C,20528,333991,119640
C,20529,333296,106165
C,20530,336990,111135
C,20531,337528,115540
C,20532,338409,118457
C,20533,335583,123373
C,20534,337543,107329
C,20535,338133,121176
C,20536,340468,115027
C,20537,341348,117381
C,20538,341613,108435
C,20539,342782,116334
C,20540,340327,123770
C,20541,338665,126120
C,20542,343171,112513
C,20543,343199,117044
C,20544,343808,115792
C,20545,342611,121635
C,20546,343620,109519
C,20547,344324,109406
C,20548,344178,108715
C,20549,344605,110182
C,20550,342016,127037
C,20551,342686,126315
C,20552,345507,108012
C,20553,346507,116782
C,20554,346289,121026
C,20555,347433,114168
C,20556,347580,115767
C,20557,347780,117783
C,20558,347603,110247
C,20559,341561,130586
C,20560,349371,113306
C,20561,349608,117435
C,20562,347129,125457
C,20563,344794,129594
C,20564,350724,115136
C,20565,350855,120418
C,20566,352460,114211
C,20567,348430,128490
C,20568,348086,129035
C,20569,352414,110564
C,20570,353334,117800
C,20571,353717,117017
C,20572,352319,123747
C,20573,354066,115262
C,20574,354113,116131
C,20575,348508,132185
C,20576,354068,121797
C,20577,355074,113446
C,20578,352639,127108
C,20579,356250,116569
C,20580,354870,124261
C,20581,356726,117638
C,20582,357120,119748
C,20583,353317,131570
C,20584,357095,124820
C,20585,354920,130523
C,20586,360277,122005
C,20587,359882,125745
C,20588,358950,129629
C,20589,363143,126954
C,20590,365535,123152
C,20591,363986,130075
C,20592,367118,119835
C,20593,366075,126417
C,20594,363946,132831
C,20595,367721,131340
C,20596,369914,125646
C,20597,370903,123093
